request_id,layer,step,mask_ratio,source,strategy,heads_per_group,window_size,baseline_physical_sparsity,physical_tile_sparsity,improvement,required_tile_reduction
context-0-regime-0,0,1,0.89,previous,bitmap,4,4096,0.00775146484375,0.0076446533203125,-0.0001068115234375,-0.00010764593713474824
context-0-regime-0,0,1,0.89,previous,bitmap,8,1024,0.00775146484375,0.0069122314453125,-0.0008392333984375,-0.0008457895060589582
context-0-regime-0,0,1,0.89,previous,bitmap,8,4096,0.00775146484375,0.0069122314453125,-0.0008392333984375,-0.0008457895060589582
context-0-regime-0,0,1,0.89,previous,bitmap,32,1024,0.00775146484375,0.0071258544921875,-0.0006256103515625,-0.0006304976317894617
context-0-regime-0,0,1,0.89,previous,bitmap,32,4096,0.00775146484375,0.0070343017578125,-0.0007171630859375,-0.0007227655779049602
context-0-regime-1,0,1,0.49,current,bitmap,1,256,0.0624542236328125,0.1220550537109375,0.059600830078125,0.06357111469166543
context-0-regime-1,0,1,0.49,current,bitmap,1,512,0.0624542236328125,0.1452789306640625,0.08282470703125,0.08834204059046591
context-0-regime-1,0,1,0.49,current,bitmap,1,1024,0.0624542236328125,0.1571197509765625,0.09466552734375,0.10097163224451933
context-0-regime-1,0,1,0.49,current,bitmap,1,4096,0.0624542236328125,0.1724853515625,0.1100311279296875,0.11736080595023024
context-0-regime-1,0,1,0.49,current,bitmap,2,512,0.0624542236328125,0.093475341796875,0.0310211181640625,0.03308757710398258
context-0-regime-1,0,1,0.49,current,bitmap,2,1024,0.0624542236328125,0.09698486328125,0.0345306396484375,0.03683088390866329
context-0-regime-1,0,1,0.49,current,bitmap,2,4096,0.0624542236328125,0.0893096923828125,0.02685546875,0.028644434679296227
context-0-regime-1,0,1,0.49,current,bitmap,4,512,0.0624542236328125,0.0736846923828125,0.01123046875,0.011978581774978458
context-0-regime-1,0,1,0.49,current,bitmap,4,1024,0.0624542236328125,0.071258544921875,0.0088043212890625,0.009390817505655624
context-0-regime-1,0,1,0.49,current,bitmap,4,4096,0.0624542236328125,0.054656982421875,-0.0077972412109375,-0.00831665120518199
context-0-regime-1,0,1,0.49,current,bitmap,8,1024,0.0624542236328125,0.0677642822265625,0.00531005859375,0.005663785947951805
context-0-regime-1,0,1,0.49,current,bitmap,8,4096,0.0624542236328125,0.0464630126953125,-0.0159912109375,-0.017056458831762766
context-0-regime-1,0,1,0.49,current,bitmap,32,1024,0.0624542236328125,0.0725250244140625,0.01007080078125,0.010741663004736113
context-0-regime-1,0,1,0.49,current,bitmap,32,4096,0.0624542236328125,0.044097900390625,-0.0183563232421875,-0.019579122113178027
context-0-regime-1,0,1,0.49,previous,bitmap,1,256,0.0624542236328125,0.096771240234375,0.0343170166015625,0.03660303045098712
context-0-regime-1,0,1,0.49,previous,bitmap,1,512,0.0624542236328125,0.1095123291015625,0.04705810546875,0.050192861676675915
context-0-regime-1,0,1,0.49,previous,bitmap,1,1024,0.0624542236328125,0.1157379150390625,0.05328369140625,0.056833162443240104
context-0-regime-1,0,1,0.49,previous,bitmap,1,4096,0.0624542236328125,0.124053955078125,0.0615997314453125,0.0657031720456358
context-0-regime-1,0,1,0.49,previous,bitmap,2,512,0.0624542236328125,0.075775146484375,0.0133209228515625,0.01420829061080997
context-0-regime-1,0,1,0.49,previous,bitmap,2,1024,0.0624542236328125,0.0758819580078125,0.013427734375,0.014322217339648113
context-0-regime-1,0,1,0.49,previous,bitmap,2,4096,0.0624542236328125,0.062744140625,0.0002899169921875,0.0003092296925605309
context-0-regime-1,0,1,0.49,previous,bitmap,4,512,0.0624542236328125,0.0689849853515625,0.00653076171875,0.006965805706101613
context-0-regime-1,0,1,0.49,previous,bitmap,4,1024,0.0624542236328125,0.0662689208984375,0.003814697265625,0.004068811744218248
context-0-regime-1,0,1,0.49,previous,bitmap,4,4096,0.0624542236328125,0.050628662109375,-0.0118255615234375,-0.012613316407076525
context-0-regime-1,0,1,0.49,previous,bitmap,8,1024,0.0624542236328125,0.0640411376953125,0.0015869140625,0.0016926256855948063
context-0-regime-1,0,1,0.49,previous,bitmap,8,4096,0.0624542236328125,0.0432891845703125,-0.0191650390625,-0.02044171020295238
context-0-regime-1,0,1,0.49,previous,bitmap,32,1024,0.0624542236328125,0.0669403076171875,0.004486083984375,0.00478492261120067
context-0-regime-1,0,1,0.49,previous,bitmap,32,4096,0.0624542236328125,0.0391387939453125,-0.0233154296875,-0.024868577380661838
context-0-regime-2,0,1,0.14,current,bitmap,1,256,0.363067626953125,0.416351318359375,0.05328369140625,0.08365674859853389
context-0-regime-2,0,1,0.14,current,bitmap,1,512,0.363067626953125,0.451019287109375,0.08795166015625,0.13808633989746544
context-0-regime-2,0,1,0.14,current,bitmap,1,1024,0.363067626953125,0.473419189453125,0.1103515625,0.17325475540223279
context-0-regime-2,0,1,0.14,current,bitmap,1,4096,0.363067626953125,0.4962005615234375,0.1331329345703125,0.20902208806477884
context-0-regime-2,0,1,0.14,current,bitmap,2,512,0.363067626953125,0.4229736328125,0.059906005859375,0.0940539504575727
context-0-regime-2,0,1,0.14,current,bitmap,2,1024,0.363067626953125,0.4335479736328125,0.0704803466796875,0.11065593407119922
context-0-regime-2,0,1,0.14,current,bitmap,2,4096,0.363067626953125,0.4394073486328125,0.0763397216796875,0.11985530161468061
context-0-regime-2,0,1,0.14,current,bitmap,4,512,0.363067626953125,0.348907470703125,-0.01416015625,-0.0222318048967467
context-0-regime-2,0,1,0.14,current,bitmap,4,1024,0.363067626953125,0.3364105224609375,-0.0266571044921875,-0.04185233098557806
context-0-regime-2,0,1,0.14,current,bitmap,4,4096,0.363067626953125,0.2841949462890625,-0.0788726806640625,-0.12383211154233154
context-0-regime-2,0,1,0.14,current,bitmap,8,1024,0.363067626953125,0.326995849609375,-0.03607177734375,-0.05663360643955717
context-0-regime-2,0,1,0.14,current,bitmap,8,4096,0.363067626953125,0.2084503173828125,-0.1546173095703125,-0.24275310239087733
context-0-regime-2,0,1,0.14,current,bitmap,32,1024,0.363067626953125,0.3276214599609375,-0.0354461669921875,-0.055651382300800245
context-0-regime-2,0,1,0.14,current,bitmap,32,4096,0.363067626953125,0.2691802978515625,-0.0938873291015625,-0.14740549087250243
