condition,id,task,canvas_index,iterations,stopped_natively,hit_cap,final_entropy,final_flips,dense_bootstrap_steps,generated_tokens,returned_tokens,eligible,skipped,global_eligible,global_skipped,local_eligible,local_skipped
unweighted_s70,ruler4k/ruler_4096_qa_1_p0547,qa_1,0,5,True,False,0.0020237660501152277,0,0,6,6,129600,90266,53600,36244,76000,54022
unweighted_s70,ruler4k/ruler_4096_qa_1_p0512,qa_1,0,4,True,False,0.004901953041553497,0,0,8,8,99200,68106,38400,25278,60800,42828
unweighted_s70,ruler4k/ruler_4096_qa_2_p0579,qa_2,0,4,True,False,0.004082134924829006,0,0,9,9,97280,68565,36480,25590,60800,42975
unweighted_s70,ruler4k/ruler_4096_qa_2_p0588,qa_2,0,7,True,False,0.0019409283995628357,0,0,6,6,172480,123481,66080,48559,106400,74922
unweighted_s70,ruler4k/ruler_4096_qa_2_p0551,qa_2,0,9,True,False,0.001680013258010149,0,0,21,21,208800,138010,72000,42761,136800,95249
unweighted_s70,ruler4k/ruler_4096_qa_2_p0578,qa_2,0,2,True,False,0.002387099200859666,0,0,9,9,47680,32211,17280,11010,30400,21201
unweighted_s70,ruler4k/ruler_4096_qa_2_p0583,qa_2,0,5,True,False,0.0025518396869301796,0,0,6,6,127200,91736,51200,38505,76000,53231
unweighted_s70,ruler4k/ruler_4096_qa_2_p0599,qa_2,0,21,True,False,0.000174563261680305,0,0,6,6,443520,291704,124320,69968,319200,221736
unweighted_s70,ruler4k/ruler_4096_qa_2_p0589,qa_2,0,18,True,False,0.0018643505172803998,0,0,7,7,446400,316527,172800,124852,273600,191675
unweighted_s70,ruler4k/ruler_4096_qa_2_p0559,qa_2,0,9,True,False,0.0017835914622992277,0,0,6,6,221760,159677,84960,61660,136800,98017
unweighted_s70,ruler4k/ruler_4096_qa_2_p0577,qa_2,0,2,True,False,0.003985594026744366,0,0,6,6,48000,33017,17600,12054,30400,20963
unweighted_s70,ruler4k/ruler_4096_qa_2_p0574,qa_2,0,4,True,False,0.002809214638546109,0,0,10,10,92800,65062,32000,21865,60800,43197
M_s70,ruler4k/ruler_4096_niah_single_1_p0391,niah_single_1,0,6,True,False,0.001439141109585762,0,0,23,23,154560,121739,63360,54527,91200,67212
M_s70,ruler4k/ruler_4096_niah_single_1_p0365,niah_single_1,0,9,True,False,0.0024746854323893785,0,0,28,28,231840,181132,95040,80744,136800,100388
M_s70,ruler4k/ruler_4096_niah_single_1_p0359,niah_single_1,0,48,False,True,0.08396410197019577,17,0,128,128,1236480,933916,506880,431162,729600,502754
M_s70,ruler4k/ruler_4096_niah_single_1_p0356,niah_single_1,0,7,True,False,0.0020281649194657803,0,0,24,24,180320,139304,73920,62053,106400,77251
M_s70,ruler4k/ruler_4096_niah_single_1_p0393,niah_single_1,0,6,True,False,0.0010917412582784891,0,0,27,27,154560,121587,63360,53981,91200,67606
M_s70,ruler4k/ruler_4096_niah_single_1_p0398,niah_single_1,0,18,True,False,0.004073372110724449,0,0,27,27,463680,353120,190080,162388,273600,190732
M_s70,ruler4k/ruler_4096_niah_single_1_p0373,niah_single_1,0,6,True,False,0.0027255213353782892,0,0,28,28,154560,121408,63360,54412,91200,66996
