dimension,value,error_threshold,records,oracle_reuse_fraction,median_tile_error,p99_tile_error
layer,5,0.001,30720,0.0,0.10669678449630737,2.819003105163574
layer,5,0.005,30720,0.0,0.10669678449630737,2.819003105163574
layer,5,0.01,30720,0.0,0.10669678449630737,2.819003105163574
layer,6,1e-05,30720,0.0,0.10642242431640625,2.268226146697998
layer,6,0.0001,30720,0.0,0.10642242431640625,2.268226146697998
layer,6,0.0005,30720,0.0,0.10642242431640625,2.268226146697998
layer,6,0.001,30720,0.0,0.10642242431640625,2.268226146697998
layer,6,0.005,30720,0.0,0.10642242431640625,2.268226146697998
layer,6,0.01,30720,0.0,0.10642242431640625,2.268226146697998
layer,7,1e-05,30720,0.0,0.17372947931289673,3.549614667892456
layer,7,0.0001,30720,0.0,0.17372947931289673,3.549614667892456
layer,7,0.0005,30720,0.0,0.17372947931289673,3.549614667892456
layer,7,0.001,30720,0.0,0.17372947931289673,3.549614667892456
layer,7,0.005,30720,0.0,0.17372947931289673,3.549614667892456
layer,7,0.01,30720,0.0,0.17372947931289673,3.549614667892456
layer,8,1e-05,30720,0.0,0.2274082750082016,3.314716100692749
layer,8,0.0001,30720,0.0,0.2274082750082016,3.314716100692749
layer,8,0.0005,30720,0.0,0.2274082750082016,3.314716100692749
layer,8,0.001,30720,0.0,0.2274082750082016,3.314716100692749
layer,8,0.005,30720,0.0,0.2274082750082016,3.314716100692749
layer,8,0.01,30720,0.0,0.2274082750082016,3.314716100692749
layer,9,1e-05,30720,0.0,0.24091172218322754,2.492345094680786
layer,9,0.0001,30720,0.0,0.24091172218322754,2.492345094680786
layer,9,0.0005,30720,0.0,0.24091172218322754,2.492345094680786
layer,9,0.001,30720,0.0,0.24091172218322754,2.492345094680786
layer,9,0.005,30720,0.0,0.24091172218322754,2.492345094680786
layer,9,0.01,30720,0.0,0.24091172218322754,2.492345094680786
layer,10,1e-05,30720,0.0,0.3864850401878357,3.432727336883545
layer,10,0.0001,30720,0.0,0.3864850401878357,3.432727336883545
layer,10,0.0005,30720,0.0,0.3864850401878357,3.432727336883545
layer,10,0.001,30720,0.0,0.3864850401878357,3.432727336883545
layer,10,0.005,30720,0.0,0.3864850401878357,3.432727336883545
layer,10,0.01,30720,0.0,0.3864850401878357,3.432727336883545
layer,11,1e-05,30720,0.0,0.44777941703796387,2.771052598953247
layer,11,0.0001,30720,0.0,0.44777941703796387,2.771052598953247
layer,11,0.0005,30720,0.0,0.44777941703796387,2.771052598953247
layer,11,0.001,30720,0.0,0.44777941703796387,2.771052598953247
layer,11,0.005,30720,0.0,0.44777941703796387,2.771052598953247
layer,11,0.01,30720,0.0,0.44777941703796387,2.771052598953247
layer,12,1e-05,30720,0.0,0.44232693314552307,2.765409231185913
layer,12,0.0001,30720,0.0,0.44232693314552307,2.765409231185913
layer,12,0.0005,30720,0.0,0.44232693314552307,2.765409231185913
layer,12,0.001,30720,0.0,0.44232693314552307,2.765409231185913
layer,12,0.005,30720,0.0,0.44232693314552307,2.765409231185913
layer,12,0.01,30720,0.0,0.44232693314552307,2.765409231185913
layer,13,1e-05,30720,0.0,0.7525728940963745,5.06879997253418
layer,13,0.0001,30720,0.0,0.7525728940963745,5.06879997253418
layer,13,0.0005,30720,0.0,0.7525728940963745,5.06879997253418
layer,13,0.001,30720,0.0,0.7525728940963745,5.06879997253418
layer,13,0.005,30720,0.0,0.7525728940963745,5.06879997253418
layer,13,0.01,30720,0.0,0.7525728940963745,5.06879997253418
layer,14,1e-05,30720,0.0,0.6404285430908203,2.800830364227295
layer,14,0.0001,30720,0.0,0.6404285430908203,2.800830364227295
layer,14,0.0005,30720,0.0,0.6404285430908203,2.800830364227295
layer,14,0.001,30720,0.0,0.6404285430908203,2.800830364227295
layer,14,0.005,30720,0.0,0.6404285430908203,2.800830364227295
layer,14,0.01,30720,0.0,0.6404285430908203,2.800830364227295
layer,15,1e-05,30720,0.0,0.9123640060424805,3.4982364177703857
layer,15,0.0001,30720,0.0,0.9123640060424805,3.4982364177703857
layer,15,0.0005,30720,0.0,0.9123640060424805,3.4982364177703857
layer,15,0.001,30720,0.0,0.9123640060424805,3.4982364177703857
layer,15,0.005,30720,0.0,0.9123640060424805,3.4982364177703857
layer,15,0.01,30720,0.0,0.9123640060424805,3.4982364177703857
layer,16,1e-05,30720,0.0,1.0250403881072998,5.381007194519043
layer,16,0.0001,30720,0.0,1.0250403881072998,5.381007194519043
layer,16,0.0005,30720,0.0,1.0250403881072998,5.381007194519043
layer,16,0.001,30720,0.0,1.0250403881072998,5.381007194519043
layer,16,0.005,30720,0.0,1.0250403881072998,5.381007194519043
layer,16,0.01,30720,0.0,1.0250403881072998,5.381007194519043
layer,17,1e-05,30720,0.0,1.1851766109466553,5.962893962860107
layer,17,0.0001,30720,0.0,1.1851766109466553,5.962893962860107
layer,17,0.0005,30720,0.0,1.1851766109466553,5.962893962860107
layer,17,0.001,30720,0.0,1.1851766109466553,5.962893962860107
layer,17,0.005,30720,0.0,1.1851766109466553,5.962893962860107
layer,17,0.01,30720,0.0,1.1851766109466553,5.962893962860107
layer,18,1e-05,30720,0.0,0.9193624258041382,3.981840133666992
layer,18,0.0001,30720,0.0,0.9193624258041382,3.981840133666992
layer,18,0.0005,30720,0.0,0.9193624258041382,3.981840133666992
layer,18,0.001,30720,0.0,0.9193624258041382,3.981840133666992
layer,18,0.005,30720,0.0,0.9193624258041382,3.981840133666992
layer,18,0.01,30720,0.0,0.9193624258041382,3.981840133666992
layer,19,1e-05,30720,0.0,1.322127342224121,4.558183193206787
layer,19,0.0001,30720,0.0,1.322127342224121,4.558183193206787
layer,19,0.0005,30720,0.0,1.322127342224121,4.558183193206787
layer,19,0.001,30720,0.0,1.322127342224121,4.558183193206787
layer,19,0.005,30720,0.0,1.322127342224121,4.558183193206787
layer,19,0.01,30720,0.0,1.322127342224121,4.558183193206787
layer,20,1e-05,30720,0.0,1.3817648887634277,8.242877960205078
layer,20,0.0001,30720,0.0,1.3817648887634277,8.242877960205078
layer,20,0.0005,30720,0.0,1.3817648887634277,8.242877960205078
layer,20,0.001,30720,0.0,1.3817648887634277,8.242877960205078
layer,20,0.005,30720,0.0,1.3817648887634277,8.242877960205078
layer,20,0.01,30720,0.0,1.3817648887634277,8.242877960205078
layer,21,1e-05,30720,0.0,1.1860897541046143,6.192482948303223
layer,21,0.0001,30720,0.0,1.1860897541046143,6.192482948303223
layer,21,0.0005,30720,0.0,1.1860897541046143,6.192482948303223
layer,21,0.001,30720,0.0,1.1860897541046143,6.192482948303223
layer,21,0.005,30720,0.0,1.1860897541046143,6.192482948303223
layer,21,0.01,30720,0.0,1.1860897541046143,6.192482948303223
layer,22,1e-05,30720,0.0,1.0782122611999512,5.78056526184082
layer,22,0.0001,30720,0.0,1.0782122611999512,5.78056526184082
layer,22,0.0005,30720,0.0,1.0782122611999512,5.78056526184082
layer,22,0.001,30720,0.0,1.0782122611999512,5.78056526184082
layer,22,0.005,30720,0.0,1.0782122611999512,5.78056526184082
layer,22,0.01,30720,0.0,1.0782122611999512,5.78056526184082
layer,23,1e-05,30720,0.0,1.1114211082458496,3.864727020263672
layer,23,0.0001,30720,0.0,1.1114211082458496,3.864727020263672
layer,23,0.0005,30720,0.0,1.1114211082458496,3.864727020263672
layer,23,0.001,30720,0.0,1.1114211082458496,3.864727020263672
layer,23,0.005,30720,0.0,1.1114211082458496,3.864727020263672
layer,23,0.01,30720,0.0,1.1114211082458496,3.864727020263672
layer,24,1e-05,30720,0.0,1.053208351135254,4.422403335571289
layer,24,0.0001,30720,0.0,1.053208351135254,4.422403335571289
layer,24,0.0005,30720,0.0,1.053208351135254,4.422403335571289
layer,24,0.001,30720,0.0,1.053208351135254,4.422403335571289
layer,24,0.005,30720,0.0,1.053208351135254,4.422403335571289
layer,24,0.01,30720,0.0,1.053208351135254,4.422403335571289
layer,25,1e-05,30720,0.0,1.1096980571746826,5.794022083282471
layer,25,0.0001,30720,0.0,1.1096980571746826,5.794022083282471
layer,25,0.0005,30720,0.0,1.1096980571746826,5.794022083282471
layer,25,0.001,30720,0.0,1.1096980571746826,5.794022083282471
layer,25,0.005,30720,0.0,1.1096980571746826,5.794022083282471
layer,25,0.01,30720,0.0,1.1096980571746826,5.794022083282471
layer,26,1e-05,30720,0.0,1.0300118923187256,9.037992477416992
layer,26,0.0001,30720,0.0,1.0300118923187256,9.037992477416992
layer,26,0.0005,30720,0.0,1.0300118923187256,9.037992477416992
layer,26,0.001,30720,0.0,1.0300118923187256,9.037992477416992
layer,26,0.005,30720,0.0,1.0300118923187256,9.037992477416992
layer,26,0.01,30720,0.0,1.0300118923187256,9.037992477416992
layer,27,1e-05,30720,0.0,1.019880771636963,7.662464141845703
layer,27,0.0001,30720,0.0,1.019880771636963,7.662464141845703
layer,27,0.0005,30720,0.0,1.019880771636963,7.662464141845703
layer,27,0.001,30720,0.0,1.019880771636963,7.662464141845703
layer,27,0.005,30720,0.0,1.019880771636963,7.662464141845703
layer,27,0.01,30720,0.0,1.019880771636963,7.662464141845703
layer,28,1e-05,30720,0.0,0.7456011176109314,7.9378814697265625
layer,28,0.0001,30720,0.0,0.7456011176109314,7.9378814697265625
layer,28,0.0005,30720,0.0,0.7456011176109314,7.9378814697265625
layer,28,0.001,30720,0.0,0.7456011176109314,7.9378814697265625
layer,28,0.005,30720,0.0,0.7456011176109314,7.9378814697265625
layer,28,0.01,30720,0.0,0.7456011176109314,7.9378814697265625
layer,29,1e-05,30720,0.0,0.7080758810043335,5.9388580322265625
layer,29,0.0001,30720,0.0,0.7080758810043335,5.9388580322265625
layer,29,0.0005,30720,0.0,0.7080758810043335,5.9388580322265625
layer,29,0.001,30720,0.0,0.7080758810043335,5.9388580322265625
layer,29,0.005,30720,0.0,0.7080758810043335,5.9388580322265625
layer,29,0.01,30720,0.0,0.7080758810043335,5.9388580322265625
layer,30,1e-05,30720,0.0,0.5239657163619995,5.862620830535889
layer,30,0.0001,30720,0.0,0.5239657163619995,5.862620830535889
layer,30,0.0005,30720,0.0,0.5239657163619995,5.862620830535889
layer,30,0.001,30720,0.0,0.5239657163619995,5.862620830535889
layer,30,0.005,30720,0.0,0.5239657163619995,5.862620830535889
layer,30,0.01,30720,0.0,0.5239657163619995,5.862620830535889
layer,31,1e-05,30720,0.0,0.34753185510635376,3.164940118789673
layer,31,0.0001,30720,0.0,0.34753185510635376,3.164940118789673
layer,31,0.0005,30720,0.0,0.34753185510635376,3.164940118789673
layer,31,0.001,30720,0.0,0.34753185510635376,3.164940118789673
layer,31,0.005,30720,0.0,0.34753185510635376,3.164940118789673
layer,31,0.01,30720,0.0,0.34753185510635376,3.164940118789673
head,0,1e-05,245760,0.020316569010416667,0.5947946310043335,5.010682582855225
head,0,0.0001,245760,0.020316569010416667,0.5947946310043335,5.010682582855225
head,0,0.0005,245760,0.02034912109375,0.5947946310043335,5.010682582855225
head,0,0.001,245760,0.0204345703125,0.5947946310043335,5.010682582855225
head,0,0.005,245760,0.020699055989583333,0.5947946310043335,5.010682582855225
head,0,0.01,245760,0.021297200520833334,0.5947946310043335,5.010682582855225
head,7,1e-05,245760,0.020316569010416667,0.6098734736442566,5.328279495239258
head,7,0.0001,245760,0.020316569010416667,0.6098734736442566,5.328279495239258
head,7,0.0005,245760,0.020316569010416667,0.6098734736442566,5.328279495239258
head,7,0.001,245760,0.0203857421875,0.6098734736442566,5.328279495239258
head,7,0.005,245760,0.020548502604166668,0.6098734736442566,5.328279495239258
head,7,0.01,245760,0.021484375,0.6098734736442566,5.328279495239258
head,15,1e-05,245760,0.020316569010416667,0.5828551054000854,5.189751148223877
head,15,0.0001,245760,0.020316569010416667,0.5828551054000854,5.189751148223877
head,15,0.0005,245760,0.020316569010416667,0.5828551054000854,5.189751148223877
head,15,0.001,245760,0.020316569010416667,0.5828551054000854,5.189751148223877
head,15,0.005,245760,0.020377604166666667,0.5828551054000854,5.189751148223877
head,15,0.01,245760,0.020585123697916666,0.5828551054000854,5.189751148223877
head,31,1e-05,245760,0.020316569010416667,0.5858218669891357,4.98466682434082
head,31,0.0001,245760,0.020316569010416667,0.5858218669891357,4.98466682434082
head,31,0.0005,245760,0.020316569010416667,0.5858218669891357,4.98466682434082
head,31,0.001,245760,0.02032470703125,0.5858218669891357,4.98466682434082
head,31,0.005,245760,0.02054443359375,0.5858218669891357,4.98466682434082
head,31,0.01,245760,0.020747884114583334,0.5858218669891357,4.98466682434082
step,1,1e-05,65536,0.014404296875,1.3748443126678467,6.301270961761475
step,1,0.0001,65536,0.014404296875,1.3748443126678467,6.301270961761475
step,1,0.0005,65536,0.014404296875,1.3748443126678467,6.301270961761475
step,1,0.001,65536,0.014404296875,1.3748443126678467,6.301270961761475
step,1,0.005,65536,0.014404296875,1.3748443126678467,6.301270961761475
