policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
k_veto_16,heldout,786432,220192,566240,212651,0.2799886067708333,0.5503883361816406,0.2703997294108073,0.3755492370726194,208653,0.9811992419504258,0.9817678818761914,127330,11915828,1.1143381595611572,0.7476555109024048,0.013471341437623973,212651,3484073984,1742036992,445961469952,0,1.6014072835976234,1.231185361626998,True
k_veto_16,final_benchmark,786432,328882,457550,187344,0.41819508870442706,0.6564153035481771,0.23822021484375,0.40945033329690744,186197,0.9938775728072423,0.9942208167296869,85928,12624560,1.248732328414917,0.8530355095863342,0.014696374814250951,187344,3069444096,1534722048,392888844288,0,1.6933376756992815,1.2574269397985038,True
k_veto_16_visible_only,calibration,786432,285190,501242,71616,0.36263783772786456,0.45370229085286456,0.091064453125,0.1428770933002422,70398,0.9829926273458445,0.9839140213452713,49463,2687096,1.130070686340332,0.3874824047088623,0.01498519451854344,71616,1173356544,586678272,150189637632,0,1.1666938220684968,1.076934645943356,False
k_veto_16_visible_only,heldout,786432,220192,566240,79761,0.2799886067708333,0.3814099629720052,0.10142135620117188,0.14086076575303758,78281,0.981444565639849,0.9823581728298755,60383,2791055,1.0610204935073853,0.3563551604747772,0.014589134977633906,79761,1306804224,653402112,167270940672,0,1.1639556897625591,1.075766657579088,False
k_veto_16_visible_only,final_benchmark,786432,328882,457550,59139,0.41819508870442706,0.4933942159016927,0.07519912719726562,0.12925144792918808,58711,0.9927628130337003,0.9934146883802285,38238,2563553,1.091158390045166,0.38058602809906006,0.016339188228212953,59139,968933376,484466688,124023472128,0,1.1484371666444952,1.069090764649324,False
k_veto_16_nonmasked_only,calibration,786432,285190,501242,71616,0.36263783772786456,0.45370229085286456,0.091064453125,0.1428770933002422,70398,0.9829926273458445,0.9839140213452713,49463,2687096,1.130070686340332,0.3874824047088623,0.01498519451854344,71616,1173356544,586678272,150189637632,0,1.1666938220684968,1.076934645943356,False
k_veto_16_nonmasked_only,heldout,786432,220192,566240,79761,0.2799886067708333,0.3814099629720052,0.10142135620117188,0.14086076575303758,78281,0.981444565639849,0.9823581728298755,60383,2791055,1.0610204935073853,0.3563551604747772,0.014589134977633906,79761,1306804224,653402112,167270940672,0,1.1639556897625591,1.075766657579088,False
k_veto_16_nonmasked_only,final_benchmark,786432,328882,457550,59139,0.41819508870442706,0.4933942159016927,0.07519912719726562,0.12925144792918808,58711,0.9927628130337003,0.9934146883802285,38238,2563553,1.091158390045166,0.38058602809906006,0.016339188228212953,59139,968933376,484466688,124023472128,0,1.1484371666444952,1.069090764649324,False
k_veto_16_stable_only,calibration,786432,285190,501242,33848,0.36263783772786456,0.40567779541015625,0.043039957682291664,0.06752825980265022,33395,0.9866166390924132,0.9877867545759205,23037,1189089,1.130070686340332,0.3708548843860626,0.020183531783575494,33848,554565632,277282816,70984400896,0,1.072418559074357,1.0349439830854934,False
k_veto_16_stable_only,heldout,786432,220192,566240,33211,0.2799886067708333,0.3222185770670573,0.04222997029622396,0.05865180842045776,32635,0.9826563488000963,0.9840055912397231,24491,1159726,1.0437830686569214,0.313700795173645,0.018295906344472746,33211,544129024,272064512,69648515072,0,1.0623061784630856,1.0302118953595525,False
