dimension,value,veto_bin,kept_tiles,tiles,fraction_of_kept,mean_veto_attention_mass,new_max_fraction,mean_v_max_norm,mean_v_variance
layer,0,17-32,60774,4334,0.07131339059466218,0.03133305534720421,0.6742039686202123,3.9069674015045166,0.03304019197821617
layer,0,33-64,60774,5934,0.09764043834534505,0.044256556779146194,0.5633636670037074,3.8725321292877197,0.031071437522768974
layer,0,65-128,60774,40219,0.6617797084279462,0.03603791445493698,0.5602575896964122,3.2920405864715576,0.013663051649928093
layer,1,1,56102,2062,0.036754482906135255,0.0323013961315155,0.7449078564500485,1.8414610624313354,0.009449203498661518
layer,1,2-4,56102,3034,0.05408006844675769,0.03375108912587166,0.7445616348055373,1.7728627920150757,0.008570831269025803
layer,1,5-8,56102,1895,0.033777761933620906,0.03551768884062767,0.7662269129287599,1.7927583456039429,0.008708241395652294
layer,1,9-16,56102,2512,0.04477558732309009,0.035427603870630264,0.6787420382165605,1.7781659364700317,0.008049068972468376
layer,1,17-32,56102,3797,0.06768029660261667,0.03592856228351593,0.4974980247563866,1.8913475275039673,0.00868967268615961
layer,1,33-64,56102,5821,0.10375744180243128,0.05070338025689125,0.5224188283800034,1.9358391761779785,0.009138662368059158
layer,1,65-128,56102,36981,0.6591743609853481,0.03955650329589844,0.5816500365052324,1.5203280448913574,0.0045829154551029205
layer,2,1,59804,2454,0.04103404454551535,0.03330708667635918,0.850040749796251,2.7139270305633545,0.02408662997186184
layer,2,2-4,59804,3358,0.056150090294963546,0.03954150527715683,0.8454437164979154,2.711743116378784,0.023493213579058647
layer,2,5-8,59804,2489,0.04161928967962009,0.039242275059223175,0.7717959019686621,2.735943555831909,0.022902028635144234
layer,2,9-16,59804,2879,0.0481405926025015,0.039306554943323135,0.6894755123306704,2.7853195667266846,0.023175500333309174
layer,2,17-32,59804,3548,0.059327135308675005,0.043769195675849915,0.5811724915445321,2.8349857330322266,0.023178255185484886
layer,2,33-64,59804,5899,0.09863888703096783,0.05743110179901123,0.4861840989998305,2.9738242626190186,0.02532104030251503
layer,2,65-128,59804,39177,0.6550899605377567,0.04179440811276436,0.596753197028869,2.6211440563201904,0.013317033648490906
layer,3,1,51262,1954,0.038117904100503294,0.04232277348637581,0.5885363357215967,2.5912320613861084,0.019385140389204025
layer,3,2-4,51262,2643,0.05155865943583941,0.04044218361377716,0.6091562618236852,2.5485892295837402,0.018168948590755463
layer,3,5-8,51262,2183,0.04258515079396044,0.03345917910337448,0.515803939532753,2.622345447540283,0.017953773960471153
layer,3,9-16,51262,3259,0.0635753579649643,0.03230275213718414,0.45811598649892604,2.6528267860412598,0.017108676955103874
layer,3,17-32,51262,4234,0.08259529476025126,0.03646031767129898,0.4752007557864903,2.6106910705566406,0.017247602343559265
layer,3,33-64,51262,5100,0.09948890015996255,0.06035084277391434,0.5405882352941176,2.6410694122314453,0.017529530450701714
layer,3,65-128,51262,31889,0.6220787327845188,0.05600234866142273,0.6277713318072062,2.4575347900390625,0.011271797120571136
layer,4,1,51357,2317,0.045115563603793055,0.037884894758462906,0.514889943892965,3.6964378356933594,0.03736599534749985
layer,4,2-4,51357,3456,0.06729365033004264,0.04462575167417526,0.5190972222222222,3.650822401046753,0.03693413734436035
layer,4,5-8,51357,2521,0.0490877582413303,0.0407383032143116,0.510115033716779,3.6031460762023926,0.03648203983902931
layer,4,9-16,51357,3331,0.06485970753743404,0.042875222861766815,0.49294506154308015,3.593200922012329,0.0352940708398819
layer,4,17-32,51357,3900,0.0759390151293884,0.04677477851510048,0.5494871794871795,3.564803123474121,0.03439829871058464
layer,4,33-64,51357,5318,0.10354966216874038,0.06542903184890747,0.6105678826626552,3.539043664932251,0.032833490520715714
layer,4,65-128,51357,30514,0.5941546429892712,0.06053917109966278,0.6221406567477223,3.3615527153015137,0.021824808791279793
layer,5,1,53827,3144,0.05840934846824085,0.043152470141649246,0.5356234096692112,4.89474630355835,0.07485952973365784
layer,5,2-4,53827,4326,0.08036858825496498,0.0470917634665966,0.5055478502080444,4.846275329589844,0.07219719886779785
layer,5,5-8,53827,3092,0.05744329054192134,0.051282767206430435,0.49805950840879687,4.802539348602295,0.0692787915468216
layer,5,9-16,53827,3883,0.07213851784420458,0.053292375057935715,0.47875354107648727,4.725653171539307,0.06512929499149323
layer,5,17-32,53827,4917,0.09134820814832705,0.055146362632513046,0.49583079113280454,4.689257621765137,0.06194173917174339
layer,5,33-64,53827,6950,0.12911735746001077,0.08156242966651917,0.5359712230215827,4.645216464996338,0.057483971118927
layer,5,65-128,53827,27515,0.5111746892823305,0.0666993111371994,0.6167181537343267,4.594083786010742,0.04416843131184578
layer,6,1,48453,3018,0.06228716488143149,0.03933163732290268,0.47150430748840294,4.851438045501709,0.060162827372550964
layer,6,2-4,48453,4510,0.09307989185396157,0.045219261199235916,0.4682926829268293,4.841067790985107,0.05954470857977867
layer,6,5-8,48453,3145,0.06490826161434793,0.043947525322437286,0.4480127186009539,4.804041862487793,0.057828389108181
layer,6,9-16,48453,3746,0.07731203434255877,0.04955693706870079,0.4660971703150027,4.72670841217041,0.055915817618370056
layer,6,17-32,48453,4389,0.09058262646275772,0.052398666739463806,0.507177033492823,4.709862232208252,0.05510586127638817
layer,6,33-64,48453,5967,0.12315026933316822,0.09104477614164352,0.5820345232109938,4.712066650390625,0.05515929311513901
layer,6,65-128,48453,23678,0.4886797515117743,0.07722396403551102,0.672396317256525,4.628981113433838,0.04418491572141647
layer,7,1,52659,3710,0.07045329383391254,0.04589087888598442,0.5247978436657682,6.987020015716553,0.15118710696697235
layer,7,2-4,52659,5334,0.10129322622913461,0.05747139826416969,0.5118110236220472,6.9475016593933105,0.14624936878681183
layer,7,5-8,52659,3914,0.07432727548946999,0.06275596469640732,0.5010219724067451,6.865420341491699,0.13850882649421692
layer,7,9-16,52659,4684,0.0889496572285839,0.06674368679523468,0.5098206660973527,6.870288848876953,0.1348256915807724
layer,7,17-32,52659,5737,0.10894623900947606,0.08324740827083588,0.5365173435593515,6.877465724945068,0.13036635518074036
layer,7,33-64,52659,7359,0.13974819119238877,0.10756205767393112,0.5969561081668705,6.8968505859375,0.12768281996250153
layer,7,65-128,52659,21921,0.4162821170170341,0.0891181230545044,0.7216824049997719,6.824474811553955,0.10425636917352676
layer,8,1,45957,3836,0.08346933002589377,0.0409381128847599,0.4011991657977059,5.918147087097168,0.09856358915567398
layer,8,2-4,45957,5218,0.11354091868485758,0.0509173683822155,0.39938673821387505,5.843259334564209,0.09524974226951599
layer,8,5-8,45957,3654,0.07950910633853385,0.05751914530992508,0.428024083196497,5.812973499298096,0.09257064014673233
