experiment,batch_id,batch_size,block_index,block_size,request_ids,request_lengths,min_prompt_tokens,max_prompt_tokens,sequence_tokens,max_steps,confidence_threshold,acceptance_policy,denoising_steps,total_time_ms,mean_time_per_step_ms,min_time_per_step_ms,max_time_per_step_ms,hit_max_steps
exp1_bs1,14,1,2,32,14,1000,1000,1000,1096,64,0.9,confidence_cutoff,1,74.33876399954897,74.33876399954897,74.33876399954897,74.33876399954897,False
exp1_bs1,14,1,3,32,14,1000,1000,1000,1128,64,0.9,confidence_cutoff,1,74.28474799962714,74.28474799962714,74.28474799962714,74.28474799962714,False
exp1_bs1,15,1,0,32,15,1100,1100,1100,1132,64,0.9,confidence_cutoff,5,234.99554700174485,46.99910940034897,40.05236900047748,74.30487700003141,False
exp1_bs1,15,1,1,32,15,1100,1100,1100,1164,64,0.9,confidence_cutoff,1,76.18684099907114,76.18684099907114,76.18684099907114,76.18684099907114,False
exp1_bs1,15,1,2,32,15,1100,1100,1100,1196,64,0.9,confidence_cutoff,1,76.57612599905406,76.57612599905406,76.57612599905406,76.57612599905406,False
exp1_bs1,15,1,3,32,15,1100,1100,1100,1228,64,0.9,confidence_cutoff,1,77.36424499853456,77.36424499853456,77.36424499853456,77.36424499853456,False
exp1_bs1,16,1,0,32,16,1200,1200,1200,1232,64,0.9,confidence_cutoff,1,77.34550799978024,77.34550799978024,77.34550799978024,77.34550799978024,False
exp1_bs1,16,1,1,32,16,1200,1200,1200,1264,64,0.9,confidence_cutoff,2,122.69471699983114,61.34735849991557,44.10743399967032,78.58728300016082,False
exp1_bs1,16,1,2,32,16,1200,1200,1200,1296,64,0.9,confidence_cutoff,1,83.95569299864292,83.95569299864292,83.95569299864292,83.95569299864292,False
exp1_bs1,16,1,3,32,16,1200,1200,1200,1328,64,0.9,confidence_cutoff,1,81.4680719995522,81.4680719995522,81.4680719995522,81.4680719995522,False
exp1_bs1,17,1,0,32,17,1300,1300,1300,1332,64,0.9,confidence_cutoff,8,416.42949400011275,52.053686750014094,47.53560500103049,81.60129499992763,False
exp1_bs1,17,1,1,32,17,1300,1300,1300,1364,64,0.9,confidence_cutoff,2,131.89906000116025,65.94953000058013,48.331316000258084,83.56774400090217,False
exp1_bs1,17,1,2,32,17,1300,1300,1300,1396,64,0.9,confidence_cutoff,1,83.32205800070369,83.32205800070369,83.32205800070369,83.32205800070369,False
exp1_bs1,17,1,3,32,17,1300,1300,1300,1428,64,0.9,confidence_cutoff,1,84.88631099862687,84.88631099862687,84.88631099862687,84.88631099862687,False
exp1_bs1,18,1,0,32,18,1400,1400,1400,1432,64,0.9,confidence_cutoff,4,237.9554149974865,59.48885374937163,50.52181599967298,84.77009399939561,False
exp1_bs1,18,1,1,32,18,1400,1400,1400,1464,64,0.9,confidence_cutoff,1,86.08432700020785,86.08432700020785,86.08432700020785,86.08432700020785,False
exp1_bs1,18,1,2,32,18,1400,1400,1400,1496,64,0.9,confidence_cutoff,1,86.4935109984799,86.4935109984799,86.4935109984799,86.4935109984799,False
exp1_bs1,18,1,3,32,18,1400,1400,1400,1528,64,0.9,confidence_cutoff,1,87.7247480002552,87.7247480002552,87.7247480002552,87.7247480002552,False
exp1_bs1,19,1,0,32,19,1500,1500,1500,1532,64,0.9,confidence_cutoff,6,357.2343889991316,59.539064833188604,53.39718000141147,87.55219600061537,False
