policy,split,records,reused_tiles,reuse_fraction,prediction_precision,unsafe_reuse_rate,unsafe_wilson95_upper,oracle_safe_recall,mean_reused_tile_error,maximum_reused_tile_error
any_query_x_stable_kv,heldout,245760,12113,0.04928792317708333,0.9637579460084207,0.036242053991579294,0.039720024730312185,0.11791680976141897,0.003716234350576997,1.4801217317581177
protect_masked_or_new,calibration,245760,51328,0.20885416666666667,0.6753428927680798,0.3246571072319202,0.3287209430700857,0.34735903319872136,0.02946280874311924,5.530698776245117
protect_masked_or_new,development,245760,60672,0.246875,0.6102979957805907,0.38970200421940926,0.3935894023788975,0.3780797859848678,0.042927730828523636,5.7056427001953125
protect_masked_or_new,final_benchmark,245760,30720,0.125,0.630859375,0.369140625,0.3745530187833059,0.1921703950499762,0.03955250233411789,9.219271659851074
protect_masked_or_new,heldout,245760,52608,0.2140625,0.6480763381995134,0.3519236618004866,0.356015272387296,0.3443768812751258,0.027717895805835724,3.922457456588745
fixed_prefix_kv_tile,calibration,245760,3840,0.015625,0.12239583333333337,0.8776041666666666,0.8875945793205193,0.004709749180804265,0.49914950132369995,15.438984870910645
fixed_prefix_kv_tile,development,245760,3840,0.015625,0.1294270833333333,0.8705729166666667,0.880820625276041,0.005074690872703881,0.5334059596061707,10.599406242370605
fixed_prefix_kv_tile,final_benchmark,245760,3840,0.015625,0.14947916666666672,0.8505208333333333,0.8614478988003924,0.005691734094875456,0.5124604105949402,11.402281761169434
fixed_prefix_kv_tile,heldout,245760,3840,0.015625,0.12812500000000004,0.871875,0.8820758604273401,0.00496959657380659,0.46982985734939575,9.457012176513672
fixed_external_outside_local4,calibration,245760,211200,0.859375,0.40233901515151516,0.5976609848484848,0.5997505303706901,0.8515026104035354,0.1300739049911499,15.438984870910645
fixed_external_outside_local4,development,245760,211200,0.859375,0.3968560606060606,0.6031439393939394,0.6052285920227691,0.8558154732123712,0.12156473100185394,12.816944122314453
fixed_external_outside_local4,final_benchmark,245760,211200,0.859375,0.4057954545454545,0.5942045454545455,0.5962970356342309,0.8498334126606378,0.12097878009080887,11.402281761169434
fixed_external_outside_local4,heldout,245760,211200,0.859375,0.39339015151515155,0.6066098484848484,0.6086912671255504,0.839215369386477,0.12489809095859528,11.791299819946289
fixed_external_outside_local8,calibration,245760,180480,0.734375,0.40277039007092197,0.597229609929078,0.5994902486326152,0.7284278456404758,0.12433602660894394,11.019183158874512
fixed_external_outside_local8,development,245760,180480,0.734375,0.3934507978723404,0.6065492021276596,0.6088006928273664,0.7250579454138886,0.12426147609949112,12.816944122314453
fixed_external_outside_local8,final_benchmark,245760,180480,0.734375,0.4114417109929078,0.5885582890070922,0.590826676550171,0.7363259558940187,0.10543972253799438,10.168000221252441
fixed_external_outside_local8,heldout,245760,180480,0.734375,0.3871232269503546,0.6128767730496454,0.6151215635487577,0.705723116704713,0.13005147874355316,10.786901473999023
fixed_local_only,calibration,245760,34560,0.140625,0.4287905092592592,0.5712094907407408,0.5764190214286771,0.1484973895964647,0.10011584311723709,9.842873573303223
fixed_local_only,development,245760,34560,0.140625,0.40859375,0.59140625,0.5965784409880636,0.14418452678762878,0.09095007181167603,11.296771049499512
fixed_local_only,final_benchmark,245760,34560,0.140625,0.43819444444444444,0.5618055555555556,0.5670294357988517,0.1501665873393622,0.1128786951303482,10.852537155151367
fixed_local_only,heldout,245760,34560,0.140625,0.4605902777777777,0.5394097222222223,0.544660115769823,0.16078463061352297,0.08584430813789368,13.734891891479492
reuse_one_step_refresh,calibration,245760,131072,0.5333333333333333,0.39733123779296875,0.6026687622070312,0.6053148800395077,0.5218702714619262,0.132355198264122,15.438984870910645
reuse_one_step_refresh,development,245760,131072,0.5333333333333333,0.39266204833984375,0.6073379516601562,0.6099785032999058,0.5255112980793776,0.11738811433315277,10.599406242370605
reuse_one_step_refresh,final_benchmark,245760,131072,0.5333333333333333,0.4072265625,0.5927734375,0.5954305211808169,0.5292717753450737,0.12207864969968796,10.852537155151367
reuse_one_step_refresh,heldout,245760,131072,0.5333333333333333,0.38576507568359375,0.6142349243164062,0.616866790003359,0.5107270560190703,0.12515205144882202,10.786901473999023
