request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0-regime-0,0,0,0.9,32,64,kv-head,3730,64999,65536,46209,369,549,366,915,35136,11073,12351,0.7890881147540983,0.760371356229306,0.239628643770694,3730,915,0.7546916890080428,4.076502732240437,61112320,14991360,12.388471849865951,50.501639344262294,757088256,137438953472,7822376960,959447040,6862929920,0.005508542060852051,0.11031560351413293,11829504,149200,1478688,2952,29280,1660120,0.0081939697265625,0.05738549823843444
context-0-regime-0,0,0,0.9,32,128,kv-head,3730,64999,65536,46209,369,204,368,572,26112,20097,27007,0.6311325393356644,0.5650847237551127,0.43491527624488735,3730,572,0.8466487935656837,6.520979020979021,61112320,9371648,12.388471849865951,80.78496503496504,757088256,137438953472,7822376960,1199570944,6622806016,0.005508542060852051,0.1143153301139962,11829504,149200,1478688,2952,18304,1649144,0.0081939697265625,0.05738549823843444
context-0-regime-0,0,1,0.89,1,64,q-head,233,65028,65536,233,85,0,85,85,0,233,5207,0.04283088235294118,0.0,1.0,233,85,0.6351931330472103,2.7411764705882353,3817472,1392640,1.0,2.7411764705882353,3817472,137438953472,488636416,89128960,399507456,2.777576446533203e-05,0.009555446194225721,59648,9320,7456,680,2720,20176,0.00775146484375,0.0035830719074860062
context-0-regime-0,0,1,0.89,1,128,q-head,233,65028,65536,233,85,0,85,85,0,233,10647,0.02141544117647059,0.0,1.0,233,85,0.6351931330472103,2.7411764705882353,3817472,1392640,1.0,2.7411764705882353,3817472,137438953472,488636416,178257920,310378496,2.777576446533203e-05,0.012299408783783784,59648,9320,7456,680,2720,20176,0.00775146484375,0.0035830719074860062
context-0-regime-0,0,1,0.89,1,64,kv-head,233,65028,65536,233,85,0,85,85,0,233,5207,0.04283088235294118,0.0,1.0,233,85,0.6351931330472103,2.7411764705882353,3817472,1392640,1.0,2.7411764705882353,3817472,137438953472,488636416,89128960,399507456,2.777576446533203e-05,0.009555446194225721,59648,9320,7456,680,2720,20176,0.00775146484375,0.0035830719074860062
context-0-regime-0,0,1,0.89,1,128,kv-head,233,65028,65536,233,85,0,85,85,0,233,10647,0.02141544117647059,0.0,1.0,233,85,0.6351931330472103,2.7411764705882353,3817472,1392640,1.0,2.7411764705882353,3817472,137438953472,488636416,178257920,310378496,2.777576446533203e-05,0.012299408783783784,59648,9320,7456,680,2720,20176,0.00775146484375,0.0035830719074860062
context-0-regime-0,0,1,0.89,2,64,q-head,457,65028,65536,681,133,0,133,133,0,681,7831,0.0800046992481203,0.0,1.0,457,133,0.7089715536105032,3.43609022556391,7487488,2179072,1.4901531728665207,5.120300751879699,11157504,137438953472,958398464,139460608,818937856,8.118152618408203e-05,0.013624359795134443,174336,18280,21792,1064,4256,45392,0.00775146484375,0.007027741895798733
context-0-regime-0,0,1,0.89,2,128,q-head,457,65028,65536,681,133,0,133,133,0,681,16343,0.04000234962406015,0.0,1.0,457,133,0.7089715536105032,3.43609022556391,7487488,2179072,1.4901531728665207,5.120300751879699,11157504,137438953472,958398464,278921216,679477248,8.118152618408203e-05,0.01642071759259259,174336,18280,21792,1064,4256,45392,0.00775146484375,0.007027741895798733
context-0-regime-0,0,1,0.89,2,64,kv-head,457,65028,65536,681,133,0,133,133,0,681,7831,0.0800046992481203,0.0,1.0,457,133,0.7089715536105032,3.43609022556391,7487488,2179072,1.4901531728665207,5.120300751879699,11157504,137438953472,958398464,139460608,818937856,8.118152618408203e-05,0.013624359795134443,174336,18280,21792,1064,4256,45392,0.00775146484375,0.007027741895798733
context-0-regime-0,0,1,0.89,2,128,kv-head,457,65028,65536,681,133,0,133,133,0,681,16343,0.04000234962406015,0.0,1.0,457,133,0.7089715536105032,3.43609022556391,7487488,2179072,1.4901531728665207,5.120300751879699,11157504,137438953472,958398464,278921216,679477248,8.118152618408203e-05,0.01642071759259259,174336,18280,21792,1064,4256,45392,0.00775146484375,0.007027741895798733
