tau,pack_m,grouping,leftover_rows,grouping_keys
4,128,kv-head,31,2356
4,128,kv-head,32,1988
4,128,kv-head,33,1813
4,128,kv-head,34,1647
4,128,kv-head,35,1433
4,128,kv-head,36,1291
4,128,kv-head,37,1102
4,128,kv-head,38,920
4,128,kv-head,39,796
4,128,kv-head,40,665
4,128,kv-head,41,574
4,128,kv-head,42,512
4,128,kv-head,43,431
4,128,kv-head,44,371
4,128,kv-head,45,284
4,128,kv-head,46,284
4,128,kv-head,47,197
4,128,kv-head,48,159
4,128,kv-head,49,144
4,128,kv-head,50,112
4,128,kv-head,51,101
4,128,kv-head,52,73
4,128,kv-head,53,48
4,128,kv-head,54,51
4,128,kv-head,55,43
4,128,kv-head,56,29
4,128,kv-head,57,15
4,128,kv-head,58,17
4,128,kv-head,59,14
4,128,kv-head,60,7
4,128,kv-head,61,13
4,128,kv-head,62,5
4,128,kv-head,63,9
4,128,kv-head,64,5
4,128,kv-head,65,3
4,128,kv-head,66,4
4,128,kv-head,67,3
4,128,kv-head,68,1
4,128,kv-head,69,3
4,128,kv-head,71,1
4,128,kv-head,72,1
4,128,kv-head,73,2
4,128,kv-head,74,1
4,128,q-head,1,11531
4,128,q-head,2,13090
4,128,q-head,3,14901
4,128,q-head,4,17548
4,128,q-head,5,13188
4,128,q-head,6,13716
4,128,q-head,7,13683
4,128,q-head,8,13296
4,128,q-head,9,12486
4,128,q-head,10,12243
4,128,q-head,11,11650
4,128,q-head,12,10864
4,128,q-head,13,10204
4,128,q-head,14,9666
4,128,q-head,15,9072
4,128,q-head,16,8292
4,128,q-head,17,7660
4,128,q-head,18,7140
4,128,q-head,19,6709
4,128,q-head,20,6077
4,128,q-head,21,5711
4,128,q-head,22,5119
4,128,q-head,23,4965
4,128,q-head,24,4452
4,128,q-head,25,4127
4,128,q-head,26,3849
4,128,q-head,27,3468
4,128,q-head,28,3072
4,128,q-head,29,2749
4,128,q-head,30,2631
4,128,q-head,31,2356
4,128,q-head,32,1988
4,128,q-head,33,1813
4,128,q-head,34,1647
4,128,q-head,35,1433
4,128,q-head,36,1291
4,128,q-head,37,1102
4,128,q-head,38,920
4,128,q-head,39,796
4,128,q-head,40,665
4,128,q-head,41,574
4,128,q-head,42,512
4,128,q-head,43,431
4,128,q-head,44,371
4,128,q-head,45,284
4,128,q-head,46,284
4,128,q-head,47,197
4,128,q-head,48,159
4,128,q-head,49,144
4,128,q-head,50,112
4,128,q-head,51,101
4,128,q-head,52,73
4,128,q-head,53,48
4,128,q-head,54,51
4,128,q-head,55,43
4,128,q-head,56,29
4,128,q-head,57,15
4,128,q-head,58,17
4,128,q-head,59,14
4,128,q-head,60,7
4,128,q-head,61,13
4,128,q-head,62,5
4,128,q-head,63,9
4,128,q-head,64,5
4,128,q-head,65,3
4,128,q-head,66,4
4,128,q-head,67,3
4,128,q-head,68,1
4,128,q-head,69,3
4,128,q-head,71,1
4,128,q-head,72,1
4,128,q-head,73,2
4,128,q-head,74,1
8,64,kv-head,0,1239
8,64,kv-head,1,7046
8,64,kv-head,2,7152
8,64,kv-head,3,7185
8,64,kv-head,4,7523
8,64,kv-head,5,7946
8,64,kv-head,6,8510
8,64,kv-head,7,9187
8,64,kv-head,8,10179
8,64,kv-head,9,7381
8,64,kv-head,10,7432
8,64,kv-head,11,7375
8,64,kv-head,12,7491
8,64,kv-head,13,7342
8,64,kv-head,14,7276
8,64,kv-head,15,7364
8,64,kv-head,16,7137
8,64,kv-head,17,6977
8,64,kv-head,18,6555
8,64,kv-head,19,6716
8,64,kv-head,20,6446
8,64,kv-head,21,6219
8,64,kv-head,22,6130
8,64,kv-head,23,6025
8,64,kv-head,24,5818
8,64,kv-head,25,5582
8,64,kv-head,26,5585
8,64,kv-head,27,5365
8,64,kv-head,28,5190
8,64,kv-head,29,4903
8,64,kv-head,30,4925
8,64,kv-head,31,4778
8,64,kv-head,32,4493
8,64,kv-head,33,4437
8,64,kv-head,34,4279
8,64,kv-head,35,4075
8,64,kv-head,36,4047
8,64,kv-head,37,3836
8,64,kv-head,38,3654
8,64,kv-head,39,3634
8,64,kv-head,40,3489
8,64,kv-head,41,3436
8,64,kv-head,42,3198
8,64,kv-head,43,3075
8,64,kv-head,44,3076
8,64,kv-head,45,2873
8,64,kv-head,46,2753
8,64,kv-head,47,2729
8,64,kv-head,48,2482
8,64,kv-head,49,2430
8,64,kv-head,50,2355
8,64,kv-head,51,2259
8,64,kv-head,52,2135
8,64,kv-head,53,2156
8,64,kv-head,54,2017
8,64,kv-head,55,1896
8,64,kv-head,56,1857
8,64,kv-head,57,1742
8,64,kv-head,58,1688
8,64,kv-head,59,1582
8,64,kv-head,60,1585
8,64,kv-head,61,1465
8,64,kv-head,62,1420
8,64,kv-head,63,1392
8,64,q-head,0,1239
8,64,q-head,1,7046
8,64,q-head,2,7152
8,64,q-head,3,7185
8,64,q-head,4,7523
8,64,q-head,5,7946
8,64,q-head,6,8510
8,64,q-head,7,9187
8,64,q-head,8,10179
8,64,q-head,9,7381
8,64,q-head,10,7432
8,64,q-head,11,7375
8,64,q-head,12,7491
8,64,q-head,13,7342
8,64,q-head,14,7276
8,64,q-head,15,7364
8,64,q-head,16,7137
8,64,q-head,17,6977
8,64,q-head,18,6555
8,64,q-head,19,6716
8,64,q-head,20,6446
8,64,q-head,21,6219
8,64,q-head,22,6130
8,64,q-head,23,6025
8,64,q-head,24,5818
8,64,q-head,25,5582
8,64,q-head,26,5585
8,64,q-head,27,5365
8,64,q-head,28,5190
8,64,q-head,29,4903
8,64,q-head,30,4925
8,64,q-head,31,4778
8,64,q-head,32,4493
8,64,q-head,33,4437
8,64,q-head,34,4279
8,64,q-head,35,4075
8,64,q-head,36,4047
8,64,q-head,37,3836
8,64,q-head,38,3654
8,64,q-head,39,3634
8,64,q-head,40,3489
8,64,q-head,41,3436
8,64,q-head,42,3198
8,64,q-head,43,3075
8,64,q-head,44,3076
8,64,q-head,45,2873
8,64,q-head,46,2753
8,64,q-head,47,2729
8,64,q-head,48,2482
8,64,q-head,49,2430
8,64,q-head,50,2355
8,64,q-head,51,2259
8,64,q-head,52,2135
8,64,q-head,53,2156
8,64,q-head,54,2017
8,64,q-head,55,1896
8,64,q-head,56,1857
8,64,q-head,57,1742
8,64,q-head,58,1688
8,64,q-head,59,1582
8,64,q-head,60,1585
8,64,q-head,61,1465
8,64,q-head,62,1420
8,64,q-head,63,1392
8,128,kv-head,0,7
8,128,kv-head,1,5882
8,128,kv-head,2,5990
8,128,kv-head,3,6052
8,128,kv-head,4,6503
8,128,kv-head,5,6930
8,128,kv-head,6,7525
8,128,kv-head,7,8262
8,128,kv-head,8,9338
8,128,kv-head,9,6552
8,128,kv-head,10,6610
8,128,kv-head,11,6636
8,128,kv-head,12,6766
8,128,kv-head,13,6663
8,128,kv-head,14,6681
8,128,kv-head,15,6773
8,128,kv-head,16,6629
8,128,kv-head,17,6461
8,128,kv-head,18,6089
8,128,kv-head,19,6258
8,128,kv-head,20,6026
8,128,kv-head,21,5812
8,128,kv-head,22,5732
8,128,kv-head,23,5688
8,128,kv-head,24,5506
8,128,kv-head,25,5290
8,128,kv-head,26,5314
8,128,kv-head,27,5106
8,128,kv-head,28,4932
8,128,kv-head,29,4690
8,128,kv-head,30,4750
8,128,kv-head,31,4578
8,128,kv-head,32,4323
8,128,kv-head,33,4299
8,128,kv-head,34,4138
8,128,kv-head,35,3944
8,128,kv-head,36,3945
8,128,kv-head,37,3723
8,128,kv-head,38,3550
8,128,kv-head,39,3552
8,128,kv-head,40,3406
8,128,kv-head,41,3347
8,128,kv-head,42,3130
8,128,kv-head,43,3021
8,128,kv-head,44,3009
8,128,kv-head,45,2830
8,128,kv-head,46,2702
8,128,kv-head,47,2667
8,128,kv-head,48,2428
8,128,kv-head,49,2400
8,128,kv-head,50,2321
8,128,kv-head,51,2225
8,128,kv-head,52,2106
8,128,kv-head,53,2128
8,128,kv-head,54,1990
8,128,kv-head,55,1872
8,128,kv-head,56,1848
8,128,kv-head,57,1722
8,128,kv-head,58,1676
8,128,kv-head,59,1567
8,128,kv-head,60,1578
8,128,kv-head,61,1454
8,128,kv-head,62,1412
8,128,kv-head,63,1379
8,128,kv-head,64,1232
8,128,kv-head,65,1164
8,128,kv-head,66,1162
8,128,kv-head,67,1133
8,128,kv-head,68,1020
8,128,kv-head,69,1016
8,128,kv-head,70,985
8,128,kv-head,71,925
8,128,kv-head,72,841
8,128,kv-head,73,829
8,128,kv-head,74,822
8,128,kv-head,75,739
8,128,kv-head,76,725
8,128,kv-head,77,679
8,128,kv-head,78,595
8,128,kv-head,79,591
8,128,kv-head,80,508
8,128,kv-head,81,516
8,128,kv-head,82,466
8,128,kv-head,83,458
8,128,kv-head,84,420
8,128,kv-head,85,407
8,128,kv-head,86,398
8,128,kv-head,87,337
8,128,kv-head,88,312
8,128,kv-head,89,292
8,128,kv-head,90,271
8,128,kv-head,91,259
8,128,kv-head,92,258
8,128,kv-head,93,213
8,128,kv-head,94,175
8,128,kv-head,95,200
8,128,kv-head,96,170
8,128,kv-head,97,138
8,128,kv-head,98,141
8,128,kv-head,99,131
8,128,kv-head,100,102
8,128,kv-head,101,113
8,128,kv-head,102,104
8,128,kv-head,103,82
8,128,kv-head,104,83
8,128,kv-head,105,89
8,128,kv-head,106,68
8,128,kv-head,107,54
8,128,kv-head,108,67
8,128,kv-head,109,43
8,128,kv-head,110,51
8,128,kv-head,111,62
8,128,kv-head,112,54
8,128,kv-head,113,30
8,128,kv-head,114,34
8,128,kv-head,115,34
8,128,kv-head,116,29
8,128,kv-head,117,28
8,128,kv-head,118,27
8,128,kv-head,119,24
8,128,kv-head,120,9
8,128,kv-head,121,20
8,128,kv-head,122,12
8,128,kv-head,123,15
8,128,kv-head,124,7
8,128,kv-head,125,11
8,128,kv-head,126,8
8,128,kv-head,127,13
8,128,q-head,0,7
8,128,q-head,1,5882
8,128,q-head,2,5990
8,128,q-head,3,6052
8,128,q-head,4,6503
8,128,q-head,5,6930
8,128,q-head,6,7525
8,128,q-head,7,8262
8,128,q-head,8,9338
8,128,q-head,9,6552
8,128,q-head,10,6610
8,128,q-head,11,6636
8,128,q-head,12,6766
8,128,q-head,13,6663
8,128,q-head,14,6681
8,128,q-head,15,6773
8,128,q-head,16,6629
8,128,q-head,17,6461
8,128,q-head,18,6089
8,128,q-head,19,6258
8,128,q-head,20,6026
8,128,q-head,21,5812
8,128,q-head,22,5732
8,128,q-head,23,5688
8,128,q-head,24,5506
8,128,q-head,25,5290
8,128,q-head,26,5314
8,128,q-head,27,5106
8,128,q-head,28,4932
8,128,q-head,29,4690
8,128,q-head,30,4750
8,128,q-head,31,4578
8,128,q-head,32,4323
8,128,q-head,33,4299
8,128,q-head,34,4138
8,128,q-head,35,3944
8,128,q-head,36,3945
8,128,q-head,37,3723
8,128,q-head,38,3550
8,128,q-head,39,3552
8,128,q-head,40,3406
8,128,q-head,41,3347
8,128,q-head,42,3130
8,128,q-head,43,3021
8,128,q-head,44,3009
8,128,q-head,45,2830
8,128,q-head,46,2702
8,128,q-head,47,2667
8,128,q-head,48,2428
8,128,q-head,49,2400
8,128,q-head,50,2321
8,128,q-head,51,2225
8,128,q-head,52,2106
8,128,q-head,53,2128
8,128,q-head,54,1990
8,128,q-head,55,1872
8,128,q-head,56,1848
8,128,q-head,57,1722
8,128,q-head,58,1676
8,128,q-head,59,1567
8,128,q-head,60,1578
8,128,q-head,61,1454
8,128,q-head,62,1412
8,128,q-head,63,1379
8,128,q-head,64,1232
8,128,q-head,65,1164
8,128,q-head,66,1162
8,128,q-head,67,1133
8,128,q-head,68,1020
8,128,q-head,69,1016
8,128,q-head,70,985
8,128,q-head,71,925
8,128,q-head,72,841
8,128,q-head,73,829
8,128,q-head,74,822
8,128,q-head,75,739
8,128,q-head,76,725
8,128,q-head,77,679
8,128,q-head,78,595
8,128,q-head,79,591
8,128,q-head,80,508
8,128,q-head,81,516
8,128,q-head,82,466
8,128,q-head,83,458
8,128,q-head,84,420
8,128,q-head,85,407
8,128,q-head,86,398
8,128,q-head,87,337
8,128,q-head,88,312
8,128,q-head,89,292
8,128,q-head,90,271
8,128,q-head,91,259
8,128,q-head,92,258
8,128,q-head,93,213
8,128,q-head,94,175
8,128,q-head,95,200
8,128,q-head,96,170
8,128,q-head,97,138
8,128,q-head,98,141
8,128,q-head,99,131
8,128,q-head,100,102
8,128,q-head,101,113
8,128,q-head,102,104
8,128,q-head,103,82
8,128,q-head,104,83
8,128,q-head,105,89
8,128,q-head,106,68
8,128,q-head,107,54
8,128,q-head,108,67
8,128,q-head,109,43
8,128,q-head,110,51
8,128,q-head,111,62
8,128,q-head,112,54
8,128,q-head,113,30
8,128,q-head,114,34
8,128,q-head,115,34
8,128,q-head,116,29
8,128,q-head,117,28
8,128,q-head,118,27
8,128,q-head,119,24
8,128,q-head,120,9
8,128,q-head,121,20
8,128,q-head,122,12
8,128,q-head,123,15
8,128,q-head,124,7
8,128,q-head,125,11
8,128,q-head,126,8
8,128,q-head,127,13
16,64,kv-head,0,3258
16,64,kv-head,1,6567
16,64,kv-head,2,6515
16,64,kv-head,3,6052
16,64,kv-head,4,6048
16,64,kv-head,5,6054
16,64,kv-head,6,6099
16,64,kv-head,7,6078
16,64,kv-head,8,6318
16,64,kv-head,9,6034
16,64,kv-head,10,6233
16,64,kv-head,11,6442
16,64,kv-head,12,6432
16,64,kv-head,13,6558
16,64,kv-head,14,6712
16,64,kv-head,15,6666
16,64,kv-head,16,7024
16,64,kv-head,17,5672
16,64,kv-head,18,5609
16,64,kv-head,19,5556
16,64,kv-head,20,5458
16,64,kv-head,21,5511
16,64,kv-head,22,5479
16,64,kv-head,23,5449
