layer,step,remaining_mask_ratio,active_count,tile_count
0,0,0.9,71,42
0,0,0.9,72,43
0,0,0.9,73,51
0,0,0.9,74,58
0,0,0.9,75,48
0,0,0.9,76,49
0,0,0.9,77,56
0,0,0.9,78,59
0,0,0.9,79,52
0,0,0.9,80,52
0,0,0.9,81,57
0,0,0.9,82,56
0,0,0.9,83,78
0,0,0.9,84,71
0,0,0.9,85,60
0,0,0.9,86,76
0,0,0.9,87,73
0,0,0.9,88,74
0,0,0.9,89,73
0,0,0.9,90,70
0,0,0.9,91,68
0,0,0.9,92,77
0,0,0.9,93,72
0,0,0.9,94,85
0,0,0.9,95,92
0,0,0.9,96,95
0,0,0.9,97,95
0,0,0.9,98,94
0,0,0.9,99,109
0,0,0.9,100,97
0,0,0.9,101,110
0,0,0.9,102,103
0,0,0.9,103,118
0,0,0.9,104,145
0,0,0.9,105,109
0,0,0.9,106,118
0,0,0.9,107,103
0,0,0.9,108,114
0,0,0.9,109,122
0,0,0.9,110,127
0,0,0.9,111,149
0,0,0.9,112,142
0,0,0.9,113,179
0,0,0.9,114,192
0,0,0.9,115,217
0,0,0.9,116,272
0,0,0.9,117,298
0,0,0.9,118,341
0,0,0.9,119,418
0,0,0.9,120,393
0,0,0.9,121,530
0,0,0.9,122,546
0,0,0.9,123,461
0,0,0.9,124,610
0,0,0.9,125,789
0,0,0.9,126,1393
0,0,0.9,127,3375
0,0,0.9,128,46103
0,1,0.14,0,23794
0,1,0.14,1,4008
0,1,0.14,2,2265
0,1,0.14,3,1706
0,1,0.14,4,1369
0,1,0.14,5,1269
0,1,0.14,6,1120
0,1,0.14,7,995
0,1,0.14,8,977
0,1,0.14,9,947
0,1,0.14,10,865
0,1,0.14,11,835
0,1,0.14,12,773
0,1,0.14,13,754
0,1,0.14,14,793
0,1,0.14,15,713
0,1,0.14,16,680
0,1,0.14,17,612
0,1,0.14,18,670
0,1,0.14,19,600
0,1,0.14,20,633
0,1,0.14,21,554
0,1,0.14,22,616
0,1,0.14,23,560
0,1,0.14,24,534
0,1,0.14,25,500
0,1,0.14,26,481
0,1,0.14,27,482
0,1,0.14,28,481
0,1,0.14,29,482
0,1,0.14,30,427
0,1,0.14,31,465
0,1,0.14,32,398
0,1,0.14,33,387
0,1,0.14,34,384
0,1,0.14,35,359
0,1,0.14,36,354
0,1,0.14,37,345
0,1,0.14,38,338
0,1,0.14,39,341
0,1,0.14,40,323
0,1,0.14,41,329
0,1,0.14,42,282
0,1,0.14,43,278
0,1,0.14,44,258
0,1,0.14,45,284
0,1,0.14,46,269
0,1,0.14,47,236
0,1,0.14,48,256
0,1,0.14,49,205
0,1,0.14,50,223
0,1,0.14,51,201
0,1,0.14,52,225
0,1,0.14,53,201
0,1,0.14,54,199
0,1,0.14,55,169
0,1,0.14,56,179
0,1,0.14,57,189
0,1,0.14,58,184
0,1,0.14,59,169
0,1,0.14,60,166
0,1,0.14,61,166
0,1,0.14,62,180
0,1,0.14,63,177
0,1,0.14,64,208
0,1,0.14,65,161
0,1,0.14,66,124
0,1,0.14,67,128
0,1,0.14,68,128
0,1,0.14,69,127
0,1,0.14,70,108
0,1,0.14,71,89
0,1,0.14,72,129
0,1,0.14,73,113
0,1,0.14,74,96
0,1,0.14,75,95
0,1,0.14,76,91
0,1,0.14,77,118
0,1,0.14,78,76
0,1,0.14,79,82
0,1,0.14,80,84
0,1,0.14,81,69
0,1,0.14,82,75
0,1,0.14,83,69
0,1,0.14,84,56
0,1,0.14,85,81
0,1,0.14,86,79
0,1,0.14,87,57
0,1,0.14,88,53
0,1,0.14,89,60
