dimension,value,active_count,tile_count
kv_head,11,22,2090
kv_head,11,23,1984
kv_head,11,24,1875
kv_head,11,25,1776
kv_head,11,26,1731
kv_head,11,27,1657
kv_head,11,28,1644
kv_head,11,29,1608
kv_head,11,30,1529
kv_head,11,31,1487
kv_head,11,32,1482
kv_head,11,33,1443
kv_head,11,34,1439
kv_head,11,35,1357
kv_head,11,36,1347
kv_head,11,37,1364
kv_head,11,38,1371
kv_head,11,39,1329
kv_head,11,40,1205
kv_head,11,41,1277
kv_head,11,42,1207
kv_head,11,43,1212
kv_head,11,44,1161
kv_head,11,45,1171
kv_head,11,46,1179
kv_head,11,47,1186
kv_head,11,48,1085
kv_head,11,49,1019
kv_head,11,50,1090
kv_head,11,51,970
kv_head,11,52,1083
kv_head,11,53,993
kv_head,11,54,1019
kv_head,11,55,1012
kv_head,11,56,1042
kv_head,11,57,1006
kv_head,11,58,1060
kv_head,11,59,982
kv_head,11,60,1007
kv_head,11,61,1065
kv_head,11,62,1037
kv_head,11,63,1059
kv_head,11,64,1261
kv_head,11,65,1086
kv_head,11,66,1032
kv_head,11,67,1012
kv_head,11,68,1032
kv_head,11,69,1021
kv_head,11,70,1006
kv_head,11,71,967
kv_head,11,72,973
kv_head,11,73,1027
kv_head,11,74,972
kv_head,11,75,960
kv_head,11,76,950
kv_head,11,77,933
kv_head,11,78,951
kv_head,11,79,912
kv_head,11,80,870
kv_head,11,81,920
kv_head,11,82,948
kv_head,11,83,931
kv_head,11,84,904
kv_head,11,85,928
kv_head,11,86,911
kv_head,11,87,915
kv_head,11,88,926
kv_head,11,89,949
kv_head,11,90,887
kv_head,11,91,874
kv_head,11,92,869
kv_head,11,93,946
kv_head,11,94,920
kv_head,11,95,922
kv_head,11,96,954
kv_head,11,97,897
kv_head,11,98,894
kv_head,11,99,987
kv_head,11,100,955
kv_head,11,101,1062
kv_head,11,102,953
kv_head,11,103,1112
kv_head,11,104,1073
kv_head,11,105,1057
kv_head,11,106,1044
kv_head,11,107,1067
kv_head,11,108,1117
kv_head,11,109,1092
kv_head,11,110,1122
kv_head,11,111,1180
kv_head,11,112,1246
kv_head,11,113,1235
kv_head,11,114,1233
kv_head,11,115,1341
kv_head,11,116,1394
kv_head,11,117,1296
kv_head,11,118,1404
kv_head,11,119,1501
kv_head,11,120,1617
kv_head,11,121,1696
kv_head,11,122,1813
kv_head,11,123,2038
kv_head,11,124,2363
kv_head,11,125,2872
kv_head,11,126,3434
kv_head,11,127,5071
kv_head,11,128,32855
kv_head,12,0,105418
kv_head,12,1,21731
kv_head,12,2,13568
kv_head,12,3,10576
kv_head,12,4,8727
kv_head,12,5,7433
kv_head,12,6,6289
kv_head,12,7,5760
kv_head,12,8,5073
kv_head,12,9,4651
kv_head,12,10,4047
kv_head,12,11,3764
kv_head,12,12,3480
kv_head,12,13,3174
kv_head,12,14,2962
kv_head,12,15,2843
kv_head,12,16,2640
kv_head,12,17,2564
kv_head,12,18,2432
kv_head,12,19,2401
kv_head,12,20,2285
kv_head,12,21,2190
kv_head,12,22,2112
kv_head,12,23,1964
kv_head,12,24,1961
kv_head,12,25,1826
kv_head,12,26,1766
kv_head,12,27,1702
kv_head,12,28,1679
kv_head,12,29,1562
kv_head,12,30,1583
kv_head,12,31,1545
kv_head,12,32,1496
kv_head,12,33,1479
kv_head,12,34,1478
kv_head,12,35,1374
kv_head,12,36,1392
kv_head,12,37,1373
kv_head,12,38,1263
kv_head,12,39,1270
kv_head,12,40,1254
kv_head,12,41,1289
kv_head,12,42,1202
kv_head,12,43,1267
kv_head,12,44,1193
kv_head,12,45,1272
kv_head,12,46,1203
kv_head,12,47,1168
kv_head,12,48,1222
kv_head,12,49,1128
kv_head,12,50,1184
kv_head,12,51,1119
kv_head,12,52,1115
kv_head,12,53,1120
kv_head,12,54,1159
kv_head,12,55,1123
kv_head,12,56,1118
kv_head,12,57,1090
kv_head,12,58,1065
kv_head,12,59,1052
kv_head,12,60,1048
kv_head,12,61,1054
kv_head,12,62,1035
kv_head,12,63,945
kv_head,12,64,985
kv_head,12,65,1012
kv_head,12,66,893
kv_head,12,67,945
kv_head,12,68,895
kv_head,12,69,912
kv_head,12,70,853
kv_head,12,71,855
kv_head,12,72,821
kv_head,12,73,869
kv_head,12,74,856
kv_head,12,75,882
kv_head,12,76,842
kv_head,12,77,808
kv_head,12,78,874
kv_head,12,79,869
kv_head,12,80,819
kv_head,12,81,836
kv_head,12,82,837
kv_head,12,83,811
kv_head,12,84,841
kv_head,12,85,857
kv_head,12,86,787
kv_head,12,87,858
kv_head,12,88,858
kv_head,12,89,858
kv_head,12,90,826
kv_head,12,91,882
kv_head,12,92,855
kv_head,12,93,882
kv_head,12,94,896
