request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0,0,1,0.5,2,128,q-head,868,61339,65536,1124,266,0,266,266,0,1124,32924,0.033012218045112784,0.0,1.0,868,266,0.6935483870967742,3.263157894736842,14221312,4358144,1.294930875576037,4.225563909774436,18415616,137438953472,1820327936,557842432,1262485504,0.00013399124145507812,0.014586794019933555,287744,34720,35968,2128,8512,81328,0.0640411376953125,0.014150866496030258
context-0,0,1,0.5,2,64,kv-head,868,61339,65536,1124,266,0,266,266,0,1124,15900,0.06602443609022557,0.0,1.0,868,266,0.6935483870967742,3.263157894736842,14221312,4358144,1.294930875576037,4.225563909774436,18415616,137438953472,1820327936,278921216,1541406720,0.00013399124145507812,0.011947278911564626,287744,34720,35968,2128,8512,81328,0.0640411376953125,0.014150866496030258
context-0,0,1,0.5,2,128,kv-head,868,61339,65536,1124,266,0,266,266,0,1124,32924,0.033012218045112784,0.0,1.0,868,266,0.6935483870967742,3.263157894736842,14221312,4358144,1.294930875576037,4.225563909774436,18415616,137438953472,1820327936,557842432,1262485504,0.00013399124145507812,0.014586794019933555,287744,34720,35968,2128,8512,81328,0.0640411376953125,0.014150866496030258
context-0,0,1,0.5,4,64,q-head,1250,61339,65536,2443,314,0,314,314,0,2443,17653,0.12156648089171974,0.0,1.0,1250,314,0.7488,3.9808917197452227,20480000,5144576,1.9544,7.780254777070064,40026112,137438953472,2621440000,329252864,2292187136,0.0002912282943725586,0.01746197392497713,625408,50000,78176,2512,10048,140736,0.0640411376953125,0.020378551981610395
context-0,0,1,0.5,4,128,q-head,1250,61339,65536,2443,314,0,314,314,0,2443,37749,0.06078324044585987,0.0,1.0,1250,314,0.7488,3.9808917197452227,20480000,5144576,1.9544,7.780254777070064,40026112,137438953472,2621440000,658505728,1962934272,0.0002912282943725586,0.020390958867521368,625408,50000,78176,2512,10048,140736,0.0640411376953125,0.020378551981610395
context-0,0,1,0.5,4,64,kv-head,1250,61339,65536,2443,314,0,314,314,0,2443,17653,0.12156648089171974,0.0,1.0,1250,314,0.7488,3.9808917197452227,20480000,5144576,1.9544,7.780254777070064,40026112,137438953472,2621440000,329252864,2292187136,0.0002912282943725586,0.01746197392497713,625408,50000,78176,2512,10048,140736,0.0640411376953125,0.020378551981610395
context-0,0,1,0.5,4,128,kv-head,1250,61339,65536,2443,314,0,314,314,0,2443,37749,0.06078324044585987,0.0,1.0,1250,314,0.7488,3.9808917197452227,20480000,5144576,1.9544,7.780254777070064,40026112,137438953472,2621440000,658505728,1962934272,0.0002912282943725586,0.020390958867521368,625408,50000,78176,2512,10048,140736,0.0640411376953125,0.020378551981610395
context-0,0,1,0.5,8,64,q-head,2027,61339,65536,7519,417,22,417,439,1408,6111,20577,0.26761816628701596,0.18725894400851176,0.8127410559914883,2027,439,0.7834237789837197,4.617312072892939,33210368,7192576,3.7094227923038976,17.12756264236902,123191296,137438953472,4250927104,460324864,3790602240,0.0008963346481323242,0.03249913554633472,1924864,81080,240608,3336,14048,339072,0.0640411376953125,0.033045859893379416
context-0,0,1,0.5,8,128,q-head,2027,61339,65536,7519,417,0,417,417,0,7519,45857,0.1408685551558753,0.0,1.0,2027,417,0.7942772570300938,4.860911270983213,33210368,6832128,3.7094227923038976,18.031175059952037,123191296,137438953472,4250927104,874512384,3376414720,0.0008963346481323242,0.03648583074534161,1924864,81080,240608,3336,13344,338368,0.0640411376953125,0.033045859893379416
context-0,0,1,0.5,8,64,kv-head,2027,61339,65536,7519,417,22,417,439,1408,6111,20577,0.26761816628701596,0.18725894400851176,0.8127410559914883,2027,439,0.7834237789837197,4.617312072892939,33210368,7192576,3.7094227923038976,17.12756264236902,123191296,137438953472,4250927104,460324864,3790602240,0.0008963346481323242,0.03249913554633472,1924864,81080,240608,3336,14048,339072,0.0640411376953125,0.033045859893379416
