layer,step,remaining_mask_ratio,active_count,tile_count
1,1,0.5,82,249
1,1,0.5,83,250
1,1,0.5,84,267
1,1,0.5,85,281
1,1,0.5,86,260
1,1,0.5,87,277
1,1,0.5,88,267
1,1,0.5,89,275
1,1,0.5,90,265
1,1,0.5,91,285
1,1,0.5,92,277
1,1,0.5,93,276
1,1,0.5,94,276
1,1,0.5,95,272
1,1,0.5,96,310
1,1,0.5,97,297
1,1,0.5,98,279
1,1,0.5,99,279
1,1,0.5,100,311
1,1,0.5,101,263
1,1,0.5,102,301
1,1,0.5,103,296
1,1,0.5,104,337
1,1,0.5,105,325
1,1,0.5,106,335
1,1,0.5,107,358
1,1,0.5,108,392
1,1,0.5,109,416
1,1,0.5,110,437
1,1,0.5,111,445
1,1,0.5,112,477
1,1,0.5,113,531
1,1,0.5,114,594
1,1,0.5,115,656
1,1,0.5,116,625
1,1,0.5,117,685
1,1,0.5,118,746
1,1,0.5,119,781
1,1,0.5,120,836
1,1,0.5,121,778
1,1,0.5,122,989
1,1,0.5,123,1143
1,1,0.5,124,1436
1,1,0.5,125,1583
1,1,0.5,126,1962
1,1,0.5,127,2583
1,1,0.5,128,10662
1,2,0.15,0,28154
1,2,0.15,1,4263
1,2,0.15,2,2663
1,2,0.15,3,2096
1,2,0.15,4,1652
1,2,0.15,5,1431
1,2,0.15,6,1236
1,2,0.15,7,1019
1,2,0.15,8,926
1,2,0.15,9,816
1,2,0.15,10,764
1,2,0.15,11,718
1,2,0.15,12,647
1,2,0.15,13,619
1,2,0.15,14,544
1,2,0.15,15,510
1,2,0.15,16,464
1,2,0.15,17,457
1,2,0.15,18,439
1,2,0.15,19,400
1,2,0.15,20,403
1,2,0.15,21,369
1,2,0.15,22,371
1,2,0.15,23,338
1,2,0.15,24,325
1,2,0.15,25,334
1,2,0.15,26,305
1,2,0.15,27,280
1,2,0.15,28,290
1,2,0.15,29,239
1,2,0.15,30,284
1,2,0.15,31,258
1,2,0.15,32,246
1,2,0.15,33,243
1,2,0.15,34,224
1,2,0.15,35,218
1,2,0.15,36,219
1,2,0.15,37,237
1,2,0.15,38,178
1,2,0.15,39,212
1,2,0.15,40,200
1,2,0.15,41,198
1,2,0.15,42,220
1,2,0.15,43,205
1,2,0.15,44,166
1,2,0.15,45,181
1,2,0.15,46,196
1,2,0.15,47,174
1,2,0.15,48,144
1,2,0.15,49,184
1,2,0.15,50,186
1,2,0.15,51,175
1,2,0.15,52,158
1,2,0.15,53,163
1,2,0.15,54,160
1,2,0.15,55,159
1,2,0.15,56,135
1,2,0.15,57,176
1,2,0.15,58,141
1,2,0.15,59,170
1,2,0.15,60,163
1,2,0.15,61,141
1,2,0.15,62,165
1,2,0.15,63,180
1,2,0.15,64,152
1,2,0.15,65,135
1,2,0.15,66,126
1,2,0.15,67,109
1,2,0.15,68,123
1,2,0.15,69,102
1,2,0.15,70,119
1,2,0.15,71,93
1,2,0.15,72,135
1,2,0.15,73,122
1,2,0.15,74,94
1,2,0.15,75,112
1,2,0.15,76,102
1,2,0.15,77,115
1,2,0.15,78,93
1,2,0.15,79,91
1,2,0.15,80,85
1,2,0.15,81,82
1,2,0.15,82,69
1,2,0.15,83,86
1,2,0.15,84,73
1,2,0.15,85,90
1,2,0.15,86,80
1,2,0.15,87,68
1,2,0.15,88,85
1,2,0.15,89,85
1,2,0.15,90,97
1,2,0.15,91,66
1,2,0.15,92,73
1,2,0.15,93,73
1,2,0.15,94,78
1,2,0.15,95,60
1,2,0.15,96,73
1,2,0.15,97,63
1,2,0.15,98,70
1,2,0.15,99,67
1,2,0.15,100,65
1,2,0.15,101,65
1,2,0.15,102,56
1,2,0.15,103,50
1,2,0.15,104,55
1,2,0.15,105,45
1,2,0.15,106,64
1,2,0.15,107,57
1,2,0.15,108,54
1,2,0.15,109,67
1,2,0.15,110,52
1,2,0.15,111,48
1,2,0.15,112,49
1,2,0.15,113,49
1,2,0.15,114,48
1,2,0.15,115,60
1,2,0.15,116,51
1,2,0.15,117,61
1,2,0.15,118,64
1,2,0.15,119,53
1,2,0.15,120,47
1,2,0.15,121,70
1,2,0.15,122,62
1,2,0.15,123,63
1,2,0.15,124,59
1,2,0.15,125,52
1,2,0.15,126,53
1,2,0.15,127,48
1,2,0.15,128,1092
2,0,0.9,0,124
2,0,0.9,1,134
2,0,0.9,2,131
2,0,0.9,3,108
2,0,0.9,4,94
2,0,0.9,5,78
2,0,0.9,6,75
2,0,0.9,7,70
2,0,0.9,8,54
2,0,0.9,9,52
2,0,0.9,10,50
2,0,0.9,11,67
2,0,0.9,12,46
2,0,0.9,13,54
2,0,0.9,14,59
2,0,0.9,15,57
2,0,0.9,16,58
2,0,0.9,17,66
2,0,0.9,18,68
2,0,0.9,19,83
2,0,0.9,20,77
2,0,0.9,21,67
2,0,0.9,22,74
2,0,0.9,23,75
2,0,0.9,24,74
2,0,0.9,25,79
2,0,0.9,26,65
2,0,0.9,27,81
2,0,0.9,28,81
2,0,0.9,29,76
2,0,0.9,30,86
2,0,0.9,31,61
2,0,0.9,32,81
2,0,0.9,33,92
2,0,0.9,34,93
2,0,0.9,35,76
2,0,0.9,36,71
2,0,0.9,37,71
2,0,0.9,38,70
2,0,0.9,39,73
2,0,0.9,40,86
2,0,0.9,41,86
2,0,0.9,42,67
2,0,0.9,43,79
2,0,0.9,44,82
2,0,0.9,45,75
2,0,0.9,46,84
2,0,0.9,47,76
2,0,0.9,48,79
2,0,0.9,49,80
2,0,0.9,50,80
2,0,0.9,51,79
2,0,0.9,52,75
2,0,0.9,53,70
2,0,0.9,54,74
2,0,0.9,55,75
2,0,0.9,56,66
2,0,0.9,57,49
2,0,0.9,58,72
2,0,0.9,59,78
2,0,0.9,60,62
2,0,0.9,61,53
2,0,0.9,62,61
2,0,0.9,63,67
2,0,0.9,64,61
2,0,0.9,65,46
2,0,0.9,66,65
2,0,0.9,67,59
2,0,0.9,68,53
2,0,0.9,69,55
2,0,0.9,70,64
2,0,0.9,71,59
2,0,0.9,72,44
2,0,0.9,73,68
2,0,0.9,74,61
2,0,0.9,75,58
2,0,0.9,76,64
2,0,0.9,77,71
2,0,0.9,78,56
2,0,0.9,79,63
2,0,0.9,80,60
2,0,0.9,81,68
2,0,0.9,82,56
2,0,0.9,83,65
2,0,0.9,84,56
2,0,0.9,85,58
2,0,0.9,86,54
2,0,0.9,87,57
2,0,0.9,88,66
2,0,0.9,89,58
2,0,0.9,90,56
2,0,0.9,91,51
2,0,0.9,92,33
2,0,0.9,93,66
2,0,0.9,94,55
2,0,0.9,95,42
2,0,0.9,96,63
2,0,0.9,97,60
2,0,0.9,98,46
2,0,0.9,99,52
2,0,0.9,100,62
2,0,0.9,101,53
2,0,0.9,102,55
2,0,0.9,103,60
2,0,0.9,104,54
2,0,0.9,105,61
2,0,0.9,106,57
2,0,0.9,107,58
2,0,0.9,108,72
2,0,0.9,109,82
2,0,0.9,110,105
2,0,0.9,111,150
2,0,0.9,112,154
2,0,0.9,113,195
2,0,0.9,114,258
2,0,0.9,115,392
2,0,0.9,116,453
2,0,0.9,117,518
2,0,0.9,118,510
2,0,0.9,119,611
2,0,0.9,120,659
2,0,0.9,121,762
2,0,0.9,122,792
2,0,0.9,123,907
2,0,0.9,124,1205
2,0,0.9,125,1682
2,0,0.9,126,2682
2,0,0.9,127,5058
2,0,0.9,128,40954
2,1,0.5,0,5606
2,1,0.5,1,539
2,1,0.5,2,391
2,1,0.5,3,266
2,1,0.5,4,273
2,1,0.5,5,265
2,1,0.5,6,214
2,1,0.5,7,199
2,1,0.5,8,218
2,1,0.5,9,203
2,1,0.5,10,187
2,1,0.5,11,208
2,1,0.5,12,213
2,1,0.5,13,199
2,1,0.5,14,207
2,1,0.5,15,185
2,1,0.5,16,185
2,1,0.5,17,176
2,1,0.5,18,161
2,1,0.5,19,156
2,1,0.5,20,142
2,1,0.5,21,160
2,1,0.5,22,133
2,1,0.5,23,147
2,1,0.5,24,132
2,1,0.5,25,160
2,1,0.5,26,143
2,1,0.5,27,156
2,1,0.5,28,155
2,1,0.5,29,165
2,1,0.5,30,164
2,1,0.5,31,201
2,1,0.5,32,162
2,1,0.5,33,167
2,1,0.5,34,192
2,1,0.5,35,170
2,1,0.5,36,197
2,1,0.5,37,202
2,1,0.5,38,200
2,1,0.5,39,206
2,1,0.5,40,203
2,1,0.5,41,217
2,1,0.5,42,223
2,1,0.5,43,232
2,1,0.5,44,231
2,1,0.5,45,206
2,1,0.5,46,247
2,1,0.5,47,253
2,1,0.5,48,256
2,1,0.5,49,229
2,1,0.5,50,237
2,1,0.5,51,235
2,1,0.5,52,230
2,1,0.5,53,254
2,1,0.5,54,239
2,1,0.5,55,252
2,1,0.5,56,256
2,1,0.5,57,290
2,1,0.5,58,305
2,1,0.5,59,283
2,1,0.5,60,301
2,1,0.5,61,296
2,1,0.5,62,297
2,1,0.5,63,309
2,1,0.5,64,279
2,1,0.5,65,322
2,1,0.5,66,324
2,1,0.5,67,356
2,1,0.5,68,335
2,1,0.5,69,362
2,1,0.5,70,338
2,1,0.5,71,336
2,1,0.5,72,379
2,1,0.5,73,430
2,1,0.5,74,361
2,1,0.5,75,399
2,1,0.5,76,411
2,1,0.5,77,379
2,1,0.5,78,440
2,1,0.5,79,480
2,1,0.5,80,476
2,1,0.5,81,433
2,1,0.5,82,459
2,1,0.5,83,450
2,1,0.5,84,431
2,1,0.5,85,483
2,1,0.5,86,422
2,1,0.5,87,435
2,1,0.5,88,433
2,1,0.5,89,413
2,1,0.5,90,414
2,1,0.5,91,424
2,1,0.5,92,445
2,1,0.5,93,443
2,1,0.5,94,431
2,1,0.5,95,454
2,1,0.5,96,430
2,1,0.5,97,423
2,1,0.5,98,456
2,1,0.5,99,466
2,1,0.5,100,466
2,1,0.5,101,462
2,1,0.5,102,479
2,1,0.5,103,492
2,1,0.5,104,492
2,1,0.5,105,507
2,1,0.5,106,493
2,1,0.5,107,486
2,1,0.5,108,488
2,1,0.5,109,501
2,1,0.5,110,542
2,1,0.5,111,533
2,1,0.5,112,590
2,1,0.5,113,566
2,1,0.5,114,581
2,1,0.5,115,584
2,1,0.5,116,605
2,1,0.5,117,654
2,1,0.5,118,692
2,1,0.5,119,810
2,1,0.5,120,880
2,1,0.5,121,982
2,1,0.5,122,1136
2,1,0.5,123,1284
2,1,0.5,124,1377
2,1,0.5,125,1481
2,1,0.5,126,1815
2,1,0.5,127,2321
2,1,0.5,128,8999
2,2,0.15,0,25673
2,2,0.15,1,5574
2,2,0.15,2,3603
2,2,0.15,3,2662
2,2,0.15,4,2030
2,2,0.15,5,1790
2,2,0.15,6,1511
2,2,0.15,7,1405
