split,scope,policy,new_maximum_protection,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum,physical_tiles,baseline_kept_tiles,candidate_tiles,replaced_tiles,physical_replacement_fraction,kept_replacement_fraction
calibration,all_rows,predicted_error_lt_0.003,none,18432,18432,3.1584284118428445e-05,0.01021149754524231,0.0,18432,0.9999999506948775,1.0000003576278687,0.9999493956565857,0.0806732177734375,18432,1.989136863913801e-05,0.010655462741851807,0.0,18432,3.0021825090989275e-05,0.010707108303904533,0.0,9216,6498,1781,15,0.0016276041666666667,0.0023084025854108957
calibration,all_rows,predicted_error_lt_0.003,veto_rows,18432,18432,2.497938045727295e-05,0.01021149754524231,0.0,18432,0.9999999616540864,1.0000003576278687,0.9999493956565857,0.0806732177734375,18432,1.707480664158033e-05,0.010655462741851807,0.0,18432,2.372395167365273e-05,0.010707108303904533,0.0,9216,6498,1781,13,0.0014105902777777778,0.0020006155740227762
calibration,all_rows,predicted_error_lt_0.01,all_rows,18432,18432,0.0003546822493984851,0.036382317543029785,0.0,18432,0.9999989300203096,1.0000003576278687,0.9995385408401489,0.1348557472229004,18432,0.0003366834070119593,0.050323426723480225,0.0,18432,0.0003464524532885336,0.03927646204829216,0.0,9216,6498,1781,84,0.009114583333333334,0.012927054478301015
calibration,all_rows,predicted_error_lt_0.01,none,18432,18432,0.0004852037990825438,0.036382317543029785,0.0,18432,0.999998591238788,1.0000003576278687,0.9995385408401489,0.1348557472229004,18432,0.0004735132226616972,0.05308717489242554,0.0,18432,0.0004601034291083057,0.03927646204829216,0.0,9216,6498,1781,102,0.011067708333333334,0.01569713758079409
calibration,all_rows,predicted_error_lt_0.01,veto_rows,18432,18432,0.0003546822493984851,0.036382317543029785,0.0,18432,0.9999989300203096,1.0000003576278687,0.9995385408401489,0.1348557472229004,18432,0.0003366834070119593,0.050323426723480225,0.0,18432,0.0003464524532885336,0.03927646204829216,0.0,9216,6498,1781,84,0.009114583333333334,0.012927054478301015
calibration,all_rows,predicted_error_lt_0.03,all_rows,18432,18432,0.0032149546365450813,0.14913365244865417,0.0,18432,0.9999735753194222,1.0000003576278687,0.9950087070465088,0.7006323337554932,18432,0.003535626666335803,0.18271619081497192,0.0,18432,0.0035790321564984342,0.18463830649852753,0.0,9216,6498,1781,307,0.03331163194444445,0.04724530624807633
calibration,all_rows,predicted_error_lt_0.03,none,18432,18432,0.008192213108617936,0.19642606377601624,0.0,18432,0.9998919731782129,1.0000003576278687,0.9894898533821106,0.7006323337554932,18432,0.01334366476900565,0.39638686180114746,0.0,18432,0.013087391709180189,0.4399293065071106,0.0,9216,6498,1781,539,0.05848524305555555,0.08294859956909818
calibration,all_rows,predicted_error_lt_0.03,veto_rows,18432,18432,0.0032149546365450813,0.14913365244865417,0.0,18432,0.9999735753194222,1.0000003576278687,0.9950087070465088,0.7006323337554932,18432,0.003535626666335803,0.18271619081497192,0.0,18432,0.0035790321564984342,0.18463830649852753,0.0,9216,6498,1781,307,0.03331163194444445,0.04724530624807633
calibration,all_rows,predicted_maxmass_lt_0.001,all_rows,18432,18432,2.134064624820435e-06,0.0022843522019684315,0.0,18432,0.9999999919188364,1.0000003576278687,0.9999974966049194,0.01002359390258789,18432,1.7423266803638803e-06,0.0020949244499206543,0.0,18432,1.776758829409528e-06,0.0023311416152864695,0.0,9216,6498,1781,4,0.00043402777777777775,0.0006155740227762388
calibration,all_rows,predicted_maxmass_lt_0.001,none,18432,18432,8.73896828597593e-06,0.008332494646310806,0.0,18432,0.9999999809596274,1.0000003576278687,0.9999670386314392,0.01002359390258789,18432,4.55888867792156e-06,0.002543032169342041,0.0,18432,8.074632246746071e-06,0.00814656913280487,0.0,9216,6498,1781,6,0.0006510416666666666,0.0009233610341643582
calibration,all_rows,predicted_maxmass_lt_0.001,veto_rows,18432,18432,2.134064624820435e-06,0.0022843522019684315,0.0,18432,0.9999999919188364,1.0000003576278687,0.9999974966049194,0.01002359390258789,18432,1.7423266803638803e-06,0.0020949244499206543,0.0,18432,1.776758829409528e-06,0.0023311416152864695,0.0,9216,6498,1781,4,0.00043402777777777775,0.0006155740227762388
calibration,all_rows,predicted_maxmass_lt_0.003,all_rows,18432,18432,4.019832136471278e-05,0.018877537921071053,0.0,18432,0.9999998976094907,1.0000003576278687,0.9998444318771362,0.042429447174072266,18432,2.732313199279209e-05,0.009328961372375488,0.0,18432,4.019798693710728e-05,0.017697010189294815,0.0,9216,6498,1781,13,0.0014105902777777778,0.0020006155740227762
calibration,all_rows,predicted_maxmass_lt_0.003,none,18432,18432,5.064471816761542e-05,0.019427455961704254,0.0,18432,0.9999998635871129,1.0000003576278687,0.9998157024383545,0.042429447174072266,18432,3.3438357705664304e-05,0.009328961372375488,0.0,18432,4.9850938507746356e-05,0.01993032544851303,0.0,9216,6498,1781,17,0.0018446180555555555,0.0026161895967990153
calibration,all_rows,predicted_maxmass_lt_0.003,veto_rows,18432,18432,4.019832136471278e-05,0.018877537921071053,0.0,18432,0.9999998976094907,1.0000003576278687,0.9998444318771362,0.042429447174072266,18432,2.732313199279209e-05,0.009328961372375488,0.0,18432,4.019798693710728e-05,0.017697010189294815,0.0,9216,6498,1781,13,0.0014105902777777778,0.0020006155740227762
calibration,all_rows,predicted_maxmass_lt_0.01,all_rows,18432,18432,0.000589656600505288,0.05755496397614479,0.0,18432,0.9999977714453254,1.0000003576278687,0.9984761476516724,0.1691756248474121,18432,0.0005119597222397311,0.07383877038955688,0.0,18432,0.0005957622567649722,0.07549549639225006,0.0,9216,6498,1781,104,0.011284722222222222,0.01600492459218221
