split,scope,method,rows,u_cosine_count,u_cosine_mean,u_cosine_maximum,u_cosine_minimum,relative_u_error_count,relative_u_error_mean,relative_u_error_maximum,relative_u_error_minimum,relative_contribution_error_count,relative_contribution_error_mean,relative_contribution_error_maximum,relative_contribution_error_minimum,worst_veto_row_relative_u_error_count,worst_veto_row_relative_u_error_mean,worst_veto_row_relative_u_error_maximum,worst_veto_row_relative_u_error_minimum
calibration,all_rows,oracle_svd_8,227968,227968,0.8887761971106946,1.000000238418579,-0.22230681777000427,227968,0.41752481144537135,2.5177805423736572,1.2929764636737673e-07,227968,0.005068550109902558,0.9401875138282776,2.0838121809682586e-14,1781,0.6989520137793157,2.4074227809906006,5.726173526454659e-07
calibration,all_rows,per_instance_entropy_oracle,227968,227968,0.999999990516302,1.000000238418579,0.9999997019767761,227968,1.9490867231681824e-07,6.523367233057797e-07,2.7310813166536718e-08,227968,1.968019483562893e-09,3.5355691352378926e-07,3.45284122360843e-20,1781,2.3243859102331988e-07,4.272611988653807e-07,3.884983001967157e-08
calibration,all_rows,proxy_mean_q_r1,227968,227968,0.7222137053754025,0.9999999403953552,-0.6566729545593262,227968,0.6512999290006881,6.337406635284424,0.000377552438294515,227968,0.007358497447473207,0.998216450214386,1.0887487065331866e-13,1781,0.9425716361031982,6.112452507019043,0.10964006930589676
calibration,all_rows,proxy_mean_q_r2,227968,227968,0.7479838164115704,0.9999998807907104,-0.6615281105041504,227968,0.6104564877549814,6.239034652709961,0.00030356229399330914,227968,0.0069362668543692,0.9940724968910217,9.718618189944253e-14,1781,0.890733752751086,5.823955535888672,0.030239306390285492
calibration,all_rows,proxy_mean_q_r4,227968,227968,0.7789366530583043,0.9999998807907104,-0.6631524562835693,227968,0.5612995346016878,6.35116720199585,0.0005528804031200707,227968,0.006404068968707759,1.0227817296981812,8.252986239288412e-14,1781,0.82403101692063,5.712738037109375,0.021512800827622414
calibration,all_rows,proxy_mean_q_r8,227968,227968,0.8152013728041417,1.0,-0.6593679189682007,227968,0.5006299497259117,6.116621017456055,0.0003213357995264232,227968,0.0057229127542872404,0.9168241620063782,7.073621609244782e-14,1781,0.7407830803741893,5.443460464477539,0.004222548101097345
calibration,all_rows,proxy_mean_veto_q_r1,227968,227968,0.527792831382644,1.000000238418579,-0.7127448916435242,227968,0.98648097948135,9.451123237609863,5.479935794028279e-08,227968,0.008758422057616653,1.244356393814087,1.2499315547431084e-13,1781,0.5476065995936437,6.840874671936035,5.479935794028279e-08
calibration,all_rows,proxy_mean_veto_q_r2,227968,227968,0.6151997070601257,1.000000238418579,-0.7261166572570801,227968,0.8409351568686976,8.417466163635254,5.56778694260629e-08,227968,0.007639756578055551,1.0250968933105469,9.223541662427628e-14,1781,0.48354607660820204,6.092394828796387,5.56778694260629e-08
calibration,all_rows,proxy_mean_veto_q_r4,227968,227968,0.6834439453976272,1.000000238418579,-0.7248452305793762,227968,0.7227149111401836,8.140119552612305,3.985408270068547e-08,227968,0.00665428707249611,1.0301910638809204,8.556444262971738e-14,1781,0.42387180125333296,5.639085292816162,3.985408270068547e-08
calibration,all_rows,proxy_mean_veto_q_r8,227968,227968,0.7470974466690624,1.0000001192092896,-0.7421043515205383,227968,0.6190320940609482,7.966455936431885,5.691751425729308e-08,227968,0.005768764659982374,1.0833278894424438,7.188858747652835e-14,1781,0.3653445011879364,5.35646390914917,5.691751425729308e-08
