split,context,remaining_mask_ratio,noise_phase,layer,head,query_tile,candidate_tiles,new_maximum_candidates,mean_veto_row_relative_mass_error,mean_veto_row_relative_value_error,compact_mean_relative_output_error,compact_masked_mean_relative_output_error,compact_visible_mean_relative_output_error,compact_minimum_row_cosine,veto_oracle_mean_relative_output_error
test,5,0.9,high,31,31,19,21,0,0.4013785719871521,0.2099420130252838,0.0074866656213998795,0.005531088914722204,0.026390567421913147,0.9984502792358398,0.016334984451532364
test,5,0.5,mid,0,0,19,6,0,0.4100303649902344,0.28422847390174866,0.018819842487573624,0.02914196252822876,0.011287485249340534,0.9993271827697754,0.026311982423067093
test,5,0.5,mid,0,7,19,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,5,0.5,mid,0,15,19,3,1,0.2648892104625702,0.4577162265777588,0.06195991113781929,0.04735111817717552,0.07262038439512253,0.8271592259407043,0.07279767096042633
test,5,0.5,mid,0,31,19,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,5,0.5,mid,15,0,19,4,1,0.6200483441352844,0.6834595799446106,0.015548741444945335,0.011598708108067513,0.018431197851896286,0.9720079302787781,0.023212265223264694
test,5,0.5,mid,15,7,19,20,5,0.6291514039039612,0.7332908511161804,0.16042795777320862,0.16917680203914642,0.15404365956783295,0.879170298576355,0.35724467039108276
test,5,0.5,mid,15,15,19,10,2,0.4416516423225403,0.8185583353042603,0.05356808751821518,0.04921705275774002,0.05674317106604576,0.8449731469154358,0.06121557205915451
test,5,0.5,mid,15,31,19,4,2,0.6547639966011047,0.4569968283176422,0.004117309581488371,0.004107185173779726,0.0041246977634727955,0.9997252225875854,0.005719474516808987
test,5,0.5,mid,31,0,19,10,8,0.17939549684524536,0.7196446061134338,0.10524136573076248,0.08115137368440628,0.12282056361436844,0.08801957964897156,0.03641023114323616
test,5,0.5,mid,31,7,19,18,6,0.6500623226165771,0.34301549196243286,0.05877511203289032,0.0591210275888443,0.058522697538137436,0.9853085875511169,0.08621110767126083
test,5,0.5,mid,31,15,19,3,1,0.7110309600830078,0.4071827530860901,0.02766757644712925,0.023174965754151344,0.030945971608161926,0.9183515310287476,0.022200249135494232
test,5,0.5,mid,31,31,19,26,14,0.5994523167610168,0.41388148069381714,0.11378547549247742,0.12098082900047302,0.10853482782840729,0.9675809741020203,0.13750451803207397
test,5,0.15,low,0,0,19,2,2,0.6609801054000854,0.6735948324203491,0.007112239953130484,0.015652980655431747,0.0056234863586723804,0.9997058510780334,0.00909826997667551
test,5,0.15,low,0,7,19,20,20,0.2665976881980896,0.711288571357727,0.11663743853569031,0.09354504197835922,0.12066271901130676,0.9910650253295898,0.07343805581331253
test,5,0.15,low,0,15,19,5,5,0.3740931451320648,0.4257548749446869,0.0389634445309639,0.01688442938029766,0.042812082916498184,0.9979287385940552,0.04311167821288109
test,5,0.15,low,0,31,19,16,16,0.17224591970443726,0.43448013067245483,0.08418873697519302,0.07010261714458466,0.08664410561323166,0.9913861751556396,0.09007778763771057
test,5,0.15,low,15,0,19,11,11,0.4112645387649536,0.747804582118988,0.04135653376579285,0.05746723338961601,0.03854823857545853,0.9869129657745361,0.08393515646457672
test,5,0.15,low,15,7,19,26,26,0.5293205976486206,0.5805818438529968,0.23754921555519104,0.25604167580604553,0.23432573676109314,0.7801027297973633,0.5533286333084106
test,5,0.15,low,15,15,19,6,6,0.31697845458984375,0.7476884722709656,0.07703238725662231,0.05533672496676445,0.0808141902089119,0.5716972351074219,0.08743321895599365
test,5,0.15,low,15,31,19,6,6,0.4766256511211395,0.45533615350723267,0.015706099569797516,0.01614941656589508,0.015628822147846222,0.9988545179367065,0.02222554199397564
test,5,0.15,low,31,0,19,15,15,0.26069870591163635,0.74400395154953,0.1324911117553711,0.15990862250328064,0.12771190702915192,0.7733259201049805,0.05719036981463432
test,5,0.15,low,31,7,19,19,19,0.7041353583335876,0.47607651352882385,0.1353146731853485,0.15675559639930725,0.1315772533416748,0.9482293725013733,0.19781310856342316
test,5,0.15,low,31,15,19,5,5,0.4675329923629761,0.30981263518333435,0.04817165434360504,0.01666298881173134,0.05366399511694908,0.8886059522628784,0.05040143430233002
test,5,0.15,low,31,31,19,18,18,0.3857811689376831,0.4396563768386841,0.13515114784240723,0.1373027265071869,0.13477608561515808,0.854731023311615,0.16393029689788818
test,6,0.9,high,0,0,23,4,0,0.19813674688339233,0.10691811889410019,0.01111752912402153,0.011991842649877071,0.003998116590082645,0.9998054504394531,0.017130989581346512
test,6,0.9,high,0,7,23,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,6,0.9,high,0,15,23,26,0,0.5187522768974304,0.3407578766345978,0.04508655518293381,0.03990728035569191,0.08726067841053009,0.987621009349823,0.11484037339687347
test,6,0.9,high,0,31,23,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,6,0.9,high,15,0,23,17,0,0.8382604718208313,0.9847904443740845,0.06213673949241638,0.060808733105659485,0.07295054197311401,0.984257161617279,0.119636170566082
test,6,0.9,high,15,7,23,21,0,0.3980603814125061,0.8088316321372986,0.0702284574508667,0.07035104930400848,0.06923019886016846,0.9544750452041626,0.13005861639976501
test,6,0.9,high,15,15,23,16,0,0.3913457691669464,0.6756241917610168,0.04500654339790344,0.04453635588288307,0.048835184425115585,0.9728614091873169,0.06331407278776169
test,6,0.9,high,15,31,23,9,0,0.9793961644172668,0.9504437446594238,0.02708132565021515,0.020435281097888947,0.08119910955429077,0.8739680051803589,0.03692250698804855
test,6,0.9,high,31,0,23,21,6,0.27977731823921204,0.6279951930046082,0.02754797972738743,0.015321370214223862,0.12710753083229065,0.730160117149353,0.012106252834200859
test,6,0.9,high,31,7,23,17,1,0.5589367747306824,0.18064461648464203,0.005635126028209925,0.0029625045135617256,0.02739790268242359,0.9989380836486816,0.007457182742655277
test,6,0.9,high,31,15,23,25,1,1.1559869050979614,0.17809604108333588,0.01679069548845291,0.008790779858827591,0.08193287998437881,0.9874811172485352,0.02172960713505745
test,6,0.9,high,31,31,23,17,0,0.5652559399604797,0.22136467695236206,0.016530336812138557,0.01597777009010315,0.021029802039265633,0.9964298605918884,0.01583832874894142
test,6,0.5,mid,0,0,23,19,0,0.4990417957305908,0.5261273980140686,0.035024531185626984,0.0332280732691288,0.037125471979379654,0.9846715927124023,0.05627325922250748
test,6,0.5,mid,0,7,23,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,6,0.5,mid,0,15,23,4,1,0.7228590846061707,0.44314590096473694,0.054129671305418015,0.02434908226132393,0.08895781636238098,0.9170211553573608,0.0665711984038353
test,6,0.5,mid,0,31,23,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,6,0.5,mid,15,0,23,1,0,0.46576517820358276,0.7019903063774109,0.0019165436970070004,0.0020867837592959404,0.0017174495151266456,0.9999529123306274,0.0027426956221461296
test,6,0.5,mid,15,7,23,15,5,0.4751260578632355,0.9329748153686523,0.10290375351905823,0.07830493152141571,0.13167187571525574,0.8605774641036987,0.24264046549797058
test,6,0.5,mid,15,15,23,12,4,0.43869921565055847,0.8793676495552063,0.06360682845115662,0.0410689152777195,0.08996473997831345,0.6092352271080017,0.09125369042158127
test,6,0.5,mid,15,31,23,3,0,1.683410882949829,0.5369849801063538,0.010025537572801113,0.008583311922848225,0.011712207458913326,0.989607572555542,0.012836670503020287
test,6,0.5,mid,31,0,23,24,13,0.20500661432743073,0.7774049639701843,0.2272871881723404,0.24491219222545624,0.20667491853237152,0.3054673969745636,0.06886362284421921
test,6,0.5,mid,31,7,23,28,9,0.6759217977523804,0.4215674102306366,0.0839952602982521,0.07693535834550858,0.0922517478466034,0.9660152792930603,0.1311408430337906
test,6,0.5,mid,31,15,23,4,0,0.9566909670829773,0.2647484540939331,0.015842165797948837,0.009649797342717648,0.023084091022610664,0.9734078645706177,0.023488849401474
test,6,0.5,mid,31,31,23,24,11,0.6736248135566711,0.31189075112342834,0.10962503403425217,0.12444724142551422,0.09229058772325516,0.8329999446868896,0.13189570605754852
test,6,0.15,low,0,0,23,3,3,0.5271517038345337,0.666470468044281,0.02365138754248619,0.040581412613391876,0.01869208738207817,0.9990776777267456,0.022626522928476334
test,6,0.15,low,0,7,23,16,16,0.30375435948371887,0.48892754316329956,0.1342071294784546,0.13220030069351196,0.13479498028755188,0.990031361579895,0.11719833314418793
test,6,0.15,low,0,15,23,2,2,0.5282669067382812,0.4165634214878082,0.057182762771844864,0.017701804637908936,0.06874789297580719,0.9276611804962158,0.06799417734146118
test,6,0.15,low,0,31,23,18,18,0.27242541313171387,0.6353023052215576,0.11084000021219254,0.08072471618652344,0.11966165155172348,0.9768491387367249,0.10644564032554626
test,6,0.15,low,15,0,23,4,4,0.2825681269168854,0.7158129811286926,0.007098155561834574,0.007625798229128122,0.0069435941986739635,0.9969407320022583,0.011958540417253971
test,6,0.15,low,15,7,23,16,16,0.31139275431632996,0.6534860134124756,0.15870451927185059,0.10312356054782867,0.17498579621315002,0.8667072057723999,0.38515734672546387
test,6,0.15,low,15,15,23,9,9,0.4946547746658325,0.9271422028541565,0.04741702973842621,0.042170774191617966,0.04895380884408951,0.5892620086669922,0.06708182394504547
test,6,0.15,low,15,31,23,4,4,0.5135872960090637,0.49140501022338867,0.014131532981991768,0.017415350303053856,0.01316960621625185,0.973966121673584,0.019215423613786697
test,6,0.15,low,31,0,23,15,15,0.20347000658512115,0.8442031741142273,0.1898493468761444,0.12501873075962067,0.20884014666080475,0.4415445923805237,0.08246839046478271
test,6,0.15,low,31,7,23,19,19,0.782781720161438,0.5075509548187256,0.1068577766418457,0.10978315025568008,0.1060008555650711,0.9422493577003479,0.17352764308452606
test,6,0.15,low,31,15,23,1,1,0.35102272033691406,0.16698262095451355,0.0025482559576630592,0.0009353184141218662,0.0030207326635718346,0.9998379945755005,0.0033348118886351585
test,6,0.15,low,31,31,23,19,19,0.36842551827430725,0.6059346199035645,0.1724407970905304,0.10718736052513123,0.1915554404258728,0.35317474603652954,0.15959444642066956
test,7,0.9,high,0,0,26,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,7,0.9,high,0,7,26,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,7,0.9,high,0,15,26,10,0,0.4407083988189697,0.286905437707901,0.012537095695734024,0.011675731278955936,0.0227012038230896,0.9994320869445801,0.023866403847932816
test,7,0.9,high,0,31,26,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,7,0.9,high,15,0,26,28,0,0.7124745845794678,0.8741780519485474,0.11742957681417465,0.11722572147846222,0.11983515322208405,0.9649048447608948,0.23133662343025208
test,7,0.9,high,15,7,26,34,2,0.36714813113212585,0.9548826813697815,0.10570357739925385,0.10785668343305588,0.08029679208993912,0.7107032537460327,0.19323113560676575
test,7,0.9,high,15,15,26,14,0,0.3657154440879822,1.0112484693527222,0.03336331248283386,0.034810010343790054,0.016292257234454155,0.9274056553840637,0.03880855441093445
test,7,0.9,high,15,31,26,8,0,0.8274728655815125,0.7998771667480469,0.025501497089862823,0.024078724905848503,0.04229018837213516,0.9766717553138733,0.0315229669213295
test,7,0.9,high,31,0,26,26,4,0.20287561416625977,0.6132792830467224,0.0708022266626358,0.0669582262635231,0.11616142094135284,0.4569685161113739,0.014669854193925858
test,7,0.9,high,31,7,26,9,1,0.5045397281646729,0.139963760972023,0.0031491355039179325,0.0024716181214898825,0.011143839918076992,0.9996070861816406,0.007345781661570072
test,7,0.9,high,31,15,26,12,0,0.7683517932891846,0.2105688899755478,0.011823668144643307,0.00841873325407505,0.05200190097093582,0.9928811192512512,0.01597946509718895
test,7,0.9,high,31,31,26,13,0,0.3273908793926239,0.27717939019203186,0.009390554390847683,0.008809532038867474,0.016246620565652847,0.9918951988220215,0.011363728903234005
