split,scope,method,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum
calibration,veto_only,exact_mass__uniform_r4,18432,18432,0.09079276378508104,1.8355834484100342,0.0,18432,0.9908941358841932,1.0000003576278687,-0.005992703139781952,7.545988082885742,18432,0.10055177700835177,0.7714753746986389,0.0,18432,0.10269149627600187,1.5104892253875732,0.0
calibration,veto_only,exact_mass__uniform_r8,18432,18432,0.08992321532410037,1.7879810333251953,0.0,18432,0.991293851817722,1.0000003576278687,-0.01250707358121872,6.746640205383301,18432,0.10055177700835177,0.7714753746986389,0.0,18432,0.10177816606884546,1.5095295906066895,0.0
calibration,veto_only,exact_mass__zero_value,18432,18432,0.09210268410252093,1.4304132461547852,0.0,18432,0.992516420733106,1.0000003576278687,0.15027643740177155,8.804347038269043,18432,0.10055177700835177,0.7714753746986389,0.0,18432,0.10734409083684854,0.998471736907959,0.0
calibration,veto_only,kmeans_joint_r1,18432,18432,0.09101201177328605,2.3883190155029297,0.0,18432,0.9927031785417866,1.0000003576278687,0.1511313021183014,7.122516632080078,18432,0.1174825898585065,0.9912488460540771,0.0,18432,0.10625534044759538,0.9984582662582397,0.0
calibration,veto_only,kmeans_joint_r2,18432,18432,0.09058248781731848,2.386836051940918,0.0,18432,0.9928512193421031,1.0000003576278687,0.15181994438171387,6.693206310272217,18432,0.11702895178071533,0.9912436008453369,0.0,18432,0.1057162453921317,0.9984504580497742,0.0
calibration,veto_only,kmeans_joint_r4,18432,18432,0.09004312820805153,2.3530709743499756,0.0,18432,0.9929775289767551,1.0000003576278687,0.16313007473945618,6.679399490356445,18432,0.11637233356789996,0.9911780953407288,0.0,18432,0.10502341059373238,0.998310923576355,0.0
calibration,veto_only,kmeans_joint_r8,18432,18432,0.08901773180077205,2.1548686027526855,0.0,18432,0.9932524267254242,1.0000003576278687,0.19399315118789673,6.683592796325684,18432,0.11541366212057053,0.9911685585975647,0.0,18432,0.10382170696157884,0.9979705214500427,0.0
calibration,veto_only,kmeans_mass_r1__exact_u,18432,18432,0.09011730653174126,2.3827316761016846,0.0,18432,0.9930809948628949,1.0000003576278687,0.1720418632030487,7.12227201461792,18432,0.1174825898585065,0.9912488460540771,0.0,18432,0.10562175341920849,0.9982368350028992,0.0
calibration,veto_only,kmeans_mass_r2__exact_u,18432,18432,0.0895127204270949,2.3366219997406006,0.0,18432,0.9932402792037465,1.0000003576278687,0.1724989414215088,7.111948013305664,18432,0.11695265055297771,0.9912352561950684,0.0,18432,0.10502228871487931,0.998231828212738,0.0
calibration,veto_only,kmeans_mass_r4__exact_u,18432,18432,0.08844716497856986,2.1551177501678467,0.0,18432,0.993539887832109,1.0000003576278687,0.22269724309444427,7.11857271194458,18432,0.11616273027741247,0.9912118315696716,0.0,18432,0.10411651443370129,0.9976791143417358,0.0
calibration,veto_only,kmeans_mass_r8__exact_u,18432,18432,0.08675156631871042,2.138035774230957,0.0,18432,0.9940427756131006,1.0000003576278687,0.2891995310783386,6.648343086242676,18432,0.1149596478304981,0.9911975264549255,0.0,18432,0.10274680582783466,0.9934301376342773,0.0
calibration,veto_only,maximum_count_mass__exact_u,18432,18432,0.1507260986298643,3.8684933185577393,0.0,18432,0.9703028762782601,1.0000003576278687,-0.09635438024997711,7.565690040588379,18432,0.8258191860125711,62.1235466003418,0.0,18432,1.0194894672165438,62.4022331237793,0.0
calibration,veto_only,maximum_logit_mass__exact_u,18432,18432,0.07860940378850313,1.4304132461547852,0.0,18432,0.9955253844624773,1.0000003576278687,0.2891995310783386,3.1505630016326904,18432,0.10651014235595034,0.7746012806892395,0.0,18432,0.09396029895195637,0.9675370454788208,0.0
calibration,veto_only,mean_variance_mass__exact_u,18432,18432,0.08438947489594145,2.4921813011169434,0.0,18432,0.9938030590985565,1.0000003576278687,0.17163509130477905,8.346908569335938,18432,0.2450456504787629,908.6820678710938,0.0,18432,0.2599684866744245,948.6845092773438,0.0
