split,method,rows,log_z_correlation,absolute_log_z_error_count,absolute_log_z_error_mean,absolute_log_z_error_maximum,absolute_log_z_error_minimum,normalized_mass_correlation,relative_mass_error_count,relative_mass_error_mean,relative_mass_error_maximum,relative_mass_error_minimum,worst_veto_row_relative_mass_error_count,worst_veto_row_relative_mass_error_mean,worst_veto_row_relative_mass_error_maximum,worst_veto_row_relative_mass_error_minimum,candidate_pair_ranking_accuracy,candidate_top1_ranking_accuracy
calibration,maximum_logit,5863,0.9767511080465149,5863,0.9463811033763883,3.83803653717041,4.1961669921875e-05,0.9677418557684149,5863,0.4408625043936191,4.827625274658203,2.0790457710972987e-05,1781,0.6613687517725146,4.827625274658203,0.001102140173316002,0.8539174389216512,0.7016129032258065
calibration,maximum_logit_count,5863,0.976751108448496,5863,3.2125019964536627,4.158842086791992,0.3208465576171875,0.9677418591310875,5863,0.4408625005833914,4.827625274658203,1.9138602510793135e-05,1781,0.6613687381078659,4.827625274658203,0.001101536094211042,0.8539174389216512,0.7016129032258065
calibration,mean_logit,5863,0.45714778087162633,5863,3.07249584718306,16.926870346069336,0.07161211967468262,0.5313042396458306,5863,3.4230337539619318,3247.556640625,0.0003694021434057504,1781,8.09078196812925,3247.556640625,0.0006730828899890184,0.7076102218477955,0.5564516129032258
calibration,mean_variance,5863,0.8982975041711201,5863,0.8149251944067615,14.063919067382812,5.829334259033203e-05,0.5990708220457318,5863,1.8836814390031855,2381.867919921875,3.5088974982500076e-05,1781,4.374663396996368,2381.867919921875,0.0003181564970873296,0.7445661331086774,0.6451612903225806
calibration,per_instance_entropy_oracle,5863,0.9999999999999808,5863,3.322122773273435e-07,5.7220458984375e-06,0.0,0.9999999999997131,5863,4.697986916451937e-07,7.266552984219743e-06,0.0,1781,7.569354821572419e-07,7.266552984219743e-06,0.0,1.0,1.0
calibration,proxy_mean_q_r1,5863,0.5696925116239883,5863,2.323696544486346,15.03322982788086,0.004352092742919922,0.5044501208132056,5863,2.9172922034153705,775.9232177734375,2.650099850143306e-05,1781,6.52164226551784,775.9232177734375,0.0005925568984821439,0.7272114574557709,0.5725806451612904
calibration,proxy_mean_q_r2,5863,0.6126487257009676,5863,2.0870841863683807,13.92612075805664,0.004329681396484375,0.5301057606001436,5863,2.844270840796054,1255.913330078125,0.00013851074618287385,1781,6.338486941342118,1255.913330078125,0.00013851074618287385,0.7443976411120472,0.5403225806451613
calibration,proxy_mean_q_r4,5863,0.67396306550037,5863,1.8028364350074757,13.865062713623047,0.004330158233642578,0.5564059177356825,5863,2.4558215055163415,1015.0048217773438,2.8065245714969933e-05,1781,5.320065680225189,1015.0048217773438,0.00034666218562051654,0.7569783768604325,0.5887096774193549
calibration,proxy_mean_q_r8,5863,0.7480222929245706,5863,1.4821369122791956,12.89515209197998,0.00421905517578125,0.6032063756571271,5863,2.129535052549148,522.186279296875,9.020463039632887e-05,1781,4.661145709448232,522.186279296875,0.0001493948802817613,0.7795001404099972,0.6209677419354839
calibration,proxy_mean_veto_q_r1,5863,0.7672769156975651,5863,1.1217965878267937,18.287630081176758,0.0,0.599528120197062,5863,8.451872734943525,3314.3671875,9.946404134097975e-06,1781,20.168660261564202,3314.3671875,0.02366570569574833,0.7360853692782926,0.5725806451612904
