policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
k_veto_16,final_benchmark,786432,328882,457550,145369,0.41819508870442706,0.6030413309733073,0.18484624226888022,0.31771172549448146,144378,0.9931828656728738,0.9935930161941329,43953,10859282,1.091158390045166,0.3730523884296417,0.012170420774596331,145369,2381725696,1190862848,304860889088,0,1.4656561417895386,1.1888568863667957,True
k_veto_16_visible_only,calibration,786432,285190,501242,71318,0.36263783772786456,0.4533233642578125,0.09068552652994792,0.14228257009588183,70101,0.9829355842844724,0.9838604133296386,49165,2678634,1.130070686340332,0.3877461850643158,0.014969223235611883,71318,1168474112,584237056,149564686336,0,1.1658851331863307,1.076589995768746,False
k_veto_16_visible_only,heldout,786432,220192,566240,77131,0.2799886067708333,0.3780657450358073,0.09807713826497395,0.13621609211641705,75683,0.9812267441106689,0.9821608833165179,57753,2737102,1.0437830686569214,0.3509489893913269,0.014410304276658304,77131,1263714304,631857152,161755430912,0,1.1576969550754534,1.0730857754164735,False
k_veto_16_visible_only,final_benchmark,786432,328882,457550,58231,0.41819508870442706,0.49223963419596356,0.07404454549153645,0.12726696535897716,57804,0.992667136061548,0.9933283384054036,37330,2543527,1.091158390045166,0.3789590299129486,0.01621607147280135,58231,954056704,477028352,122119258112,0,1.145825768370651,1.0679578792090738,False
k_veto_16_nonmasked_only,calibration,786432,285190,501242,71318,0.36263783772786456,0.4533233642578125,0.09068552652994792,0.14228257009588183,70101,0.9829355842844724,0.9838604133296386,49165,2678634,1.130070686340332,0.3877461850643158,0.014969223235611883,71318,1168474112,584237056,149564686336,0,1.1658851331863307,1.076589995768746,False
k_veto_16_nonmasked_only,heldout,786432,220192,566240,77131,0.2799886067708333,0.3780657450358073,0.09807713826497395,0.13621609211641705,75683,0.9812267441106689,0.9821608833165179,57753,2737102,1.0437830686569214,0.3509489893913269,0.014410304276658304,77131,1263714304,631857152,161755430912,0,1.1576969550754534,1.0730857754164735,False
k_veto_16_nonmasked_only,final_benchmark,786432,328882,457550,58231,0.41819508870442706,0.49223963419596356,0.07404454549153645,0.12726696535897716,57804,0.992667136061548,0.9933283384054036,37330,2543527,1.091158390045166,0.3789590299129486,0.01621607147280135,58231,954056704,477028352,122119258112,0,1.145825768370651,1.0679578792090738,False
k_veto_16_stable_only,calibration,786432,285190,501242,33848,0.36263783772786456,0.40567779541015625,0.043039957682291664,0.06752825980265022,33395,0.9866166390924132,0.9877867545759205,23037,1189089,1.130070686340332,0.3708548843860626,0.020183531783575494,33848,554565632,277282816,70984400896,0,1.072418559074357,1.0349439830854934,False
k_veto_16_stable_only,heldout,786432,220192,566240,33211,0.2799886067708333,0.3222185770670573,0.04222997029622396,0.05865180842045776,32635,0.9826563488000963,0.9840055912397231,24491,1159726,1.0437830686569214,0.313700795173645,0.018295906344472746,33211,544129024,272064512,69648515072,0,1.0623061784630856,1.0302118953595525,False
k_veto_16_stable_only,final_benchmark,786432,328882,457550,25411,0.41819508870442706,0.45050684611002606,0.03231175740559896,0.055537099770516886,25299,0.9955924599582858,0.9963353992484397,16907,976993,1.0258045196533203,0.3458508253097534,0.023334157556655983,25411,416333824,208166912,53290729472,0,1.058802838901372,1.0285616659304544,False
quantile_q90,calibration,786432,285190,501242,0,0.36263783772786456,0.36263783772786456,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
quantile_q90,heldout,786432,220192,566240,0,0.2799886067708333,0.2799886067708333,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
quantile_q90,final_benchmark,786432,328882,457550,0,0.41819508870442706,0.41819508870442706,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
quantile_q95,calibration,786432,285190,501242,0,0.36263783772786456,0.36263783772786456,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
quantile_q95,heldout,786432,220192,566240,0,0.2799886067708333,0.2799886067708333,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
