source\target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6280284043441938,0.6290309106098579,0.5865914786967419,0.5747702589807853,0.6552631578947369,0.6453216374269006,0.6150375939849624,0.6449874686716792,0.643734335839599,0.6538847117794486,0.5988304093567252,0.687218045112782,0.6094820384294068,0.611904761904762,0.6436507936507937,0.6130743525480368,0.6283208020050125,0.6347117794486216,0.6500835421888054,0.7050960735171261,0.6005430242272347
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6342182890855457,0.5795779441797141,0.6088949398683912,0.6672112548218743,0.6306784660766962,0.6000907646925346,0.656954844565464,0.6403449058316315,0.6703426367143182,0.6125709099160427,0.6413886997957794,0.6184706149307919,0.6092126162922623,0.6738370773769004,0.6581347855684139,0.6705695484456546,0.6617199909235307,0.629453142727479,0.7240299523485364,0.606761969593828
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6374854481955763,0.6326426076833528,0.6802793946449359,0.6527124563445867,0.6251920838183935,0.6463329452852153,0.6832596041909197,0.6732013969732247,0.6569965075669383,0.6762281722933644,0.6352037252619325,0.6322235157159488,0.6976484284051222,0.6228637951105938,0.6711990686845168,0.6365075669383004,0.6590454016298021,0.739837019790454,0.6281257275902212
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6548064623110816,0.6657033211730705,0.6366134457762828,0.633154877528782,0.6149618609939831,0.6897711659638982,0.6278959586866916,0.6707727294262567,0.6731416117875586,0.6854124224191027,0.6266167622115886,0.6856966883024589,0.6336286540010423,0.6555645046666982,0.6294120433979249,0.6676458047093381,0.70422134836784,0.6550433505472119
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.66370658156422,0.593728319689191,0.6550575829055085,0.618195273114102,0.7120392211276074,0.6741593820822349,0.6304056241616947,0.6298968595347116,0.6616715230562878,0.6317931640534665,0.6890523102539198,0.6564913741270062,0.6561213634892004,0.6175015031682161,0.6624115443318995,0.7186994126081124,0.624346699967624
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6114232209737828,0.6022727272727273,0.6627511065713313,0.665006809669731,0.628106911814777,0.6169135171944161,0.6222761321075928,0.589036431733061,0.6171688798093292,0.6689223697650664,0.630915900578822,0.6313415049370106,0.6371297242083759,0.662197820905686,0.7414879128362274,0.6171263193735104
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6428313470566992,0.6257222824124232,0.66738894907909,0.6314553990610329,0.6239165763813651,0.6493770314192849,0.6043246659443843,0.6071686529433008,0.6531238714337306,0.6022481040086674,0.6327193932827736,0.6304171180931745,0.6933459732755507,0.713569880823402,0.5959732755507403
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6101611238274763,0.6394237242493604,0.6405457564741259,0.6293703155154616,0.6120461379650823,0.6300884161393115,0.634980476639289,0.6622683003455859,0.6307167541851803,0.6412189758089852,0.6124500695659979,0.715497509088461,0.6741618419281001,0.6271262510659306
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6370920284278665,0.6480919831605632,0.6232402335792857,0.6324294961749128,0.6052238468154452,0.6055859852428591,0.6580507899144448,0.6294871214521751,0.651532298220995,0.647775112036576,0.6460096872029333,0.73228916753429,0.6001539088316509
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6423542543144157,0.6144930024899116,0.6355713917747059,0.6188718124839014,0.5910105606593973,0.6396067656907358,0.5938868378123122,0.632952691680261,0.6217910191465613,0.6609856615437452,0.7108697518674336,0.5831544603760626
