source\target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7142461325329024,0.7074578619256523,0.5952897714153775,0.6925421380743477,0.6609097206187947,0.5673978296005542,0.6152389748326021,0.6713461094435466,0.5135996305703071,0.6257215423689679,0.6227199261140615,0.573539598245209,0.5484645578388363,0.6374047564072962,0.5893788963287925,0.6546755945509121,0.6222581389979219,0.6147771877164627,0.6437774186100208,0.5948741630108519,0.5113830524128377
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7120467008667964,0.5504687776401911,0.6721740668671502,0.6352379267645498,0.5940208738722802,0.5827702105076951,0.6506279851406332,0.508791791968866,0.6383866973288519,0.6015566955598797,0.5545020343180612,0.5102423491951177,0.596462055545728,0.5558818326552273,0.6168759950468777,0.5659649743499027,0.6279497611887493,0.6111445250309571,0.5736776932602158,0.4903944808066513
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5359034102944291,0.67764597895926,0.6281861187601497,0.5702887806255736,0.5847631151592176,0.6404363482313069,0.5073430770317023,0.6432606086281155,0.599343359457742,0.5484360658052673,0.529301701616889,0.5884699569300289,0.5443761914848549,0.5912236108169173,0.5380216055920356,0.6079573536680082,0.6050624867612794,0.5675704299936454,0.4819600367153852
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6979542156266092,0.6683207714994617,0.6351294415055475,0.6185103693647301,0.6730490145592435,0.5864893965638313,0.6905575581667525,0.64678619914798,0.6091943261083282,0.5429989232713824,0.6420579560881982,0.6348017414915033,0.6365338701371659,0.6147652263470811,0.673470343148729,0.6359252843967979,0.6352230700809888,0.5405645803099106
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6408450704225352,0.5941302263844849,0.5840277265688371,0.6533810190988865,0.5197256839466116,0.6269080451294152,0.5950519873165696,0.5436177273062458,0.5568542142909815,0.6197551802964383,0.5565592507927144,0.6251751345770961,0.5600250718973527,0.6305582184204704,0.6185015854288032,0.5713442961433522,0.48967627756065185
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5907248450166905,0.6100778890478461,0.6940867906533142,0.5305992687966937,0.6882848513749801,0.6194961055476077,0.5945398187887458,0.5605229693212526,0.6411540295660467,0.5847242091877285,0.6177078365919567,0.5671196948020982,0.6293514544587506,0.6127404228262597,0.572683198219679,0.512478143379431
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6096774193548387,0.6543968183826778,0.5650022094564737,0.6821034025629695,0.6544410075121521,0.5881131241714538,0.5741935483870968,0.6556783031374281,0.6132567388422449,0.6543084401237296,0.6177198409191339,0.7004860804242157,0.6681396376491383,0.6021210782147591,0.5354396818382677
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6539183081777096,0.5357295130894517,0.685256246269293,0.6469258975014923,0.5774281572439669,0.5887268696171228,0.6324294363434808,0.6101731048008868,0.6086381853841563,0.5898780591796708,0.6274409482391063,0.6557090474972286,0.6101304681504222,0.5309115715869361
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5204758116452627,0.6607569041936584,0.6071902110088268,0.5865818085388491,0.5286206765920369,0.6324961169829905,0.5606697730802743,0.6206008258514225,0.5717316361707769,0.630450429973103,0.6024169413190893,0.5905216501875213,0.5139220365950676
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6994643218111987,0.6894077218516272,0.6484232868405094,0.5738326258338386,0.6438245401253285,0.667828987265009,0.6379118657772387,0.6288659793814433,0.6939559328886193,0.678542551041035,0.6807155852031535,0.5783808368708309
