split,candidate,reference,count,candidate_correct,reference_correct,delta_pp,paired_ci95_pp,candidate_overall_sparsity_pct,reference_overall_sparsity_pct,overall_sparsity_gap_pp,candidate_global_sparsity_pct,reference_global_sparsity_pct,global_sparsity_gap_pp,candidate_local_sparsity_pct,reference_local_sparsity_pct,local_sparsity_gap_pp,within2pp_all_types
noncalibration24,jl_gaussian_r2_s50,jl_gaussian_r8_s50,24,13.0,13.0,0.0,"[-16.666666666666664, 16.666666666666664]",50.289863911089036,50.82641594057361,-0.5365520294845716,51.78177484558262,49.4028637406139,2.3789111049687115,49.91655179899061,51.183882626746744,-1.2673308277561357,False
noncalibration24,jl_gaussian_r2_s50,jl_gaussian_r16_s50,24,13.0,9.0,16.666666666666668,"[-4.166666666666666, 37.5]",50.289863911089036,51.044619863892606,-0.7547559528035652,51.78177484558262,50.50839535707957,1.2733794885030458,49.91655179899061,51.17846992601767,-1.2619181270270563,True
noncalibration24,jl_gaussian_r2_s50,jl_gaussian_r24_s50,24,13.0,14.0,-4.166666666666667,"[-16.666666666666664, 8.333333333333332]",50.289863911089036,50.790708738484206,-0.5008448273951638,51.78177484558262,50.6286806864784,1.1530941591042176,49.91655179899061,50.829536456999136,-0.9129846580085255,True
noncalibration24,jl_gaussian_r2_s50,jl_gaussian_r32_s50,24,13.0,12.0,4.166666666666667,"[-20.833333333333336, 29.166666666666668]",50.289863911089036,50.708548823676246,-0.4186849125872083,51.78177484558262,51.06525350423654,0.7165213413460769,49.91655179899061,50.62026517455297,-0.7037133755623592,True
noncalibration24,jl_gaussian_r2_s50,full_centered_s50,24,13.0,12.0,4.166666666666667,"[-12.5, 20.833333333333336]",50.289863911089036,51.46903830931324,-1.1791743982242031,51.78177484558262,51.849038064604905,-0.06726321902228438,49.91655179899061,51.37500798042136,-1.4584561814307506,True
noncalibration24,jl_gaussian_r4_s50,jl_gaussian_r8_s50,24,11.0,13.0,-8.333333333333334,"[-25.0, 8.333333333333332]",51.170443271664425,50.82641594057361,0.3440273310908126,50.40911333650085,49.4028637406139,1.0062495958869488,51.35478821668381,51.183882626746744,0.17090558993706484,True
noncalibration24,jl_gaussian_r4_s50,jl_gaussian_r16_s50,24,11.0,9.0,8.333333333333334,"[-12.5, 33.33333333333333]",51.170443271664425,51.044619863892606,0.125823407771819,50.40911333650085,50.50839535707957,-0.09928202057871705,51.35478821668381,51.17846992601767,0.17631829066614424,True
noncalibration24,jl_gaussian_r4_s50,jl_gaussian_r24_s50,24,11.0,14.0,-12.5,"[-25.0, 0.0]",51.170443271664425,50.790708738484206,0.37973453318022043,50.40911333650085,50.6286806864784,-0.21956734997754523,51.35478821668381,50.829536456999136,0.5252517596846751,True
noncalibration24,jl_gaussian_r4_s50,jl_gaussian_r32_s50,24,11.0,12.0,-4.166666666666667,"[-25.0, 16.666666666666664]",51.170443271664425,50.708548823676246,0.4618944479881759,50.40911333650085,51.06525350423654,-0.656140167735686,51.35478821668381,50.62026517455297,0.7345230421308413,True
noncalibration24,jl_gaussian_r4_s50,full_centered_s50,24,11.0,12.0,-4.166666666666667,"[-20.833333333333336, 12.5]",51.170443271664425,51.46903830931324,-0.2985950376488189,50.40911333650085,51.849038064604905,-1.4399247281040473,51.35478821668381,51.37500798042136,-0.02021976373755008,True
calibration6,jl_gaussian_r2_s50,jl_gaussian_r8_s50,6,3.0,2.0,16.666666666666668,"[0.0, 50.0]",49.94396330098335,50.60122740550257,-0.6572641045192174,51.171577443927205,48.99744068120933,2.174136762717871,49.632253190060446,50.99148300481142,-1.3592298147509785,False
calibration6,jl_gaussian_r2_s50,jl_gaussian_r16_s50,6,3.0,2.0,16.666666666666668,"[0.0, 50.0]",49.94396330098335,51.01023121236609,-1.0662679113827345,51.171577443927205,51.180897435897435,-0.009319991970224706,49.632253190060446,50.96667539181363,-1.3344222017531882,True
