split,new_max_protection,estimator,accumulation_rule,base_budget,total_tiles,baseline_skipped_tiles,additional_skipped_tiles,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,mean_masked_relative_error,maximum_masked_relative_error,half_downstream_kernel_speedup,passes_offline_work_gate
calibration,masked,online_relative_proxy,sum,0.019999999552965164,786432,285190,3002,0.0038172403971354165,0.005989123018422239,2738,0.9120586275816123,0.9216701913316091,101,318246,0.0030475594237886886,0.019952353090047836,1.0030035558419261,False
calibration,masked,online_relative_proxy,sum,0.05000000074505806,786432,285190,11384,0.014475504557291666,0.022711584424290065,10812,0.94975404075896,0.9536174015573845,1537,1050048,0.0058925140907894686,0.05018431693315506,1.0114862274240741,False
calibration,masked,online_relative_proxy,rss,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,masked,online_relative_proxy,rss,0.0020000000949949026,786432,285190,15,1.9073486328125e-05,2.9925664649011856e-05,0,0.0,0.20388330103584862,0,1688,0.00015369497330073638,0.0019454577704891562,1.0000149630562143,False
calibration,masked,online_relative_proxy,rss,0.004999999888241291,786432,285190,139,0.00017674763997395834,0.0002773111590808432,0,0.0,0.026893164298442428,1,15618,0.0004777199393005908,0.0049181142821908,1.0001386748075762,False
calibration,masked,online_relative_proxy,rss,0.009999999776482582,786432,285190,874,0.0011113484700520833,0.0017436687268824241,613,0.7013729977116705,0.7307792542128746,9,96859,0.0012479559291501219,0.009993831627070904,1.0008725951218538,False
calibration,masked,online_relative_proxy,rss,0.019999999552965164,786432,285190,4358,0.005541483561197917,0.008694403102692911,3975,0.9121156493804498,0.9201627527469128,115,468878,0.0027199525997017517,0.019952353090047836,1.0043661822254906,False
calibration,masked,online_relative_proxy,rss,0.05000000074505806,786432,285190,21210,0.02696990966796875,0.04231488981370276,20413,0.9624233851956624,0.9649000772324168,2024,2081093,0.005390115713495414,0.05018431693315506,1.0216147579575123,False
calibration,masked,online_relative_proxy,max,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,masked,online_relative_proxy,max,0.0020000000949949026,786432,285190,21,2.6702880859375e-05,4.1895930508616595e-05,0,0.0,0.154639018924847,0,2370,0.00012691451368248286,0.0019454577704891562,1.0000209484040807,False
calibration,masked,online_relative_proxy,max,0.004999999888241291,786432,285190,199,0.0002530415852864583,0.0003970138176768906,0,0.0,0.018938233056634942,1,22386,0.0004383530340963797,0.004933650139719248,1.0001985463216552,False
calibration,masked,online_relative_proxy,max,0.009999999776482582,786432,285190,1276,0.0016225179036458333,0.002545676539475942,927,0.7264890282131662,0.7502401548142591,10,139902,0.0013665311096812444,0.009993831627070904,1.0012744604517743,False
calibration,masked,online_relative_proxy,max,0.019999999552965164,786432,285190,7962,0.01012420654296875,0.015884542795695494,7492,0.9409696056267269,0.9459368853349237,206,838706,0.004123433917770116,0.019952353090047836,1.0080058560796041,False
