benchmark,condition,axis,index,attention_type,eligible,skipped,softmax_skipped,pv_omitted,compensated,mass_sum,rows,error_sq,dense_sq,denominator_mass_sum,same_budget_best_mass_sum,wrongly_replaced_vs_mass,unnecessarily_retained_vs_mass,physical_sparsity,pv_omission,mass,denominator_mass,relative_error,rescued_rows,prefix_eligible,prefix_skipped,prefix_replaced,canvas_eligible,canvas_skipped,canvas_replaced,boundary_eligible,boundary_skipped,boundary_replaced,softmax_sparsity,compensation_fraction,mass_selection_gap,wrongly_replaced_fraction,rescued_row_rate,prefix_sparsity,canvas_sparsity,boundary_sparsity
ruler8k,blasst_s50,head,10,global,682810.0,497334.0,497334.0,497334.0,0.0,506530.20089149475,683520.0,6605268.804526806,91314571.98046875,506530.20089149475,530365.8858737946,41824.0,41824.0,0.728363673642741,0.728363673642741,0.741061272371686,0.741061272371686,0.26895226382252685,0.0,656140.0,488532.0,488532.0,21360.0,8768.0,8768.0,5310.0,34.0,34.0,0.728363673642741,0.0,0.034871964218018206,0.061252764312180547,0.0,0.7445545158045539,0.41048689138576777,0.0064030131826741995
ruler8k,blasst_s50,head,10,local,507300.0,147042.0,147042.0,147042.0,0.0,3089610.847715378,3417600.0,8275304.12579169,358323290.0744629,3089610.847715378,3331742.627052307,65014.0,65014.0,0.2898521584861029,0.2898521584861029,0.9040293913024865,0.9040293913024865,0.15196881017232475,0.0,373800.0,103432.0,103432.0,106800.0,41854.0,41854.0,26700.0,1756.0,1756.0,0.2898521584861029,0.0,0.07084848412246293,0.12815690912674946,0.0,0.2767041198501873,0.39189138576779026,0.06576779026217229
ruler8k,blasst_s50,head,11,global,682810.0,532736.0,532736.0,532736.0,0.0,554015.0868492126,683520.0,6884117.630875707,120491490.15136719,554015.0868492126,573016.2577896118,38919.0,38919.0,0.7802111861279126,0.7802111861279126,0.8105323719118864,0.8105323719118864,0.2390264456890592,0.0,656140.0,521381.0,521381.0,21360.0,10756.0,10756.0,5310.0,599.0,599.0,0.7802111861279126,0.0,0.02779899774754092,0.05699828649258212,0.0,0.7946185265339714,0.503558052434457,0.1128060263653484
ruler8k,blasst_s50,head,11,local,507300.0,142586.0,142586.0,142586.0,0.0,3086696.3133773804,3417600.0,11636945.12069644,341198086.8878174,3086696.3133773804,3324972.1175460815,61575.0,61575.0,0.2810684013404297,0.2810684013404297,0.9031765898225013,0.9031765898225013,0.18467844087140287,0.0,373800.0,103506.0,103506.0,106800.0,36057.0,36057.0,26700.0,3023.0,3023.0,0.2810684013404297,0.0,0.06972021423475573,0.12137788290952099,0.0,0.2769020866773676,0.3376123595505618,0.11322097378277153
ruler8k,blasst_s50,head,12,global,682810.0,460579.0,460579.0,460579.0,0.0,520898.4270439148,683520.0,6383214.555646479,104505940.28320312,520898.4270439148,543467.8879184723,51608.0,51608.0,0.6745346436051024,0.6745346436051024,0.7620822024870008,0.7620822024870008,0.24714352267494463,0.0,656140.0,453227.0,453227.0,21360.0,7344.0,7344.0,5310.0,8.0,8.0,0.6745346436051024,0.0,0.03301945937874166,0.07558178702713786,0.0,0.6907474014691987,0.3438202247191011,0.0015065913370998117
ruler8k,blasst_s50,head,12,local,507300.0,149681.0,149681.0,149681.0,0.0,3105384.883061409,3417600.0,16927214.670911435,361845124.3117676,3105384.883061409,3339685.3882598877,61785.0,61785.0,0.2950542085550956,0.2950542085550956,0.9086449213077624,0.9086449213077624,0.21628748388642982,0.0,373800.0,110564.0,110564.0,106800.0,36345.0,36345.0,26700.0,2772.0,2772.0,0.2950542085550956,0.0,0.06855702984506049,0.12179183914843288,0.0,0.29578384162653826,0.3403089887640449,0.10382022471910113
ruler8k,blasst_s50,head,13,global,682810.0,505800.0,505800.0,505800.0,0.0,510577.0315551758,683520.0,7661601.171225637,101308074.10791016,510577.0315551758,536842.1040401459,41840.0,41840.0,0.7407624375741422,0.7407624375741422,0.7469818462593278,0.7469818462593278,0.2750031957567747,0.0,656140.0,494956.0,494956.0,21360.0,10808.0,10808.0,5310.0,36.0,36.0,0.7407624375741422,0.0,0.03842619452974323,0.06127619689225407,0.0,0.7543451092754595,0.5059925093632959,0.006779661016949152
ruler8k,blasst_s50,head,13,local,507300.0,141910.0,141910.0,141910.0,0.0,3148731.1064720154,3417600.0,9575230.304769041,366610841.23706055,3148731.1064720154,3345637.3024139404,61293.0,61293.0,0.2797358564951705,0.2797358564951705,0.9213281561540307,0.9213281561540307,0.1616113888324265,0.0,373800.0,107752.0,107752.0,106800.0,31645.0,31645.0,26700.0,2513.0,2513.0,0.2797358564951705,0.0,0.057615342913718705,0.12082199881726789,0.0,0.28826110219368645,0.2963014981273408,0.09411985018726592
ruler8k,blasst_s50,head,14,global,682810.0,527607.0,527607.0,527607.0,0.0,467254.02696609497,683520.0,10644907.973104477,90269102.53125,467254.02696609497,497163.5577850342,40355.0,40355.0,0.7726995796780949,0.7726995796780949,0.683599641511726,0.683599641511726,0.3434008717309404,0.0,656140.0,516774.0,516774.0,21360.0,10777.0,10777.0,5310.0,56.0,56.0,0.7726995796780949,0.0,0.043758091670966774,0.05910136055418052,0.0,0.7875971591428659,0.5045411985018726,0.010546139359698682
ruler8k,blasst_s50,head,14,local,507300.0,144241.0,144241.0,144241.0,0.0,3134741.8453559875,3417600.0,8581297.839602431,297819005.3773804,3134741.8453559875,3335002.9499816895,60644.0,60644.0,0.28433077074709245,0.28433077074709245,0.9172348564360918,0.9172348564360918,0.16974628701609498,0.0,373800.0,103825.0,103825.0,106800.0,37427.0,37427.0,26700.0,2989.0,2989.0,0.28433077074709245,0.0,0.058596999246752664,0.11954267691701163,0.0,0.27775548421615837,0.350440074906367,0.11194756554307116
ruler8k,blasst_s50,head,15,global,682810.0,474680.0,474680.0,474680.0,0.0,542669.6346473694,683520.0,6035256.545502979,121909126.55566406,542669.6346473694,557859.8781776428,43373.0,43373.0,0.6951860693311462,0.6951860693311462,0.7939338053712685,0.7939338053712685,0.22249986818242748,0.0,656140.0,468258.0,468258.0,21360.0,6346.0,6346.0,5310.0,76.0,76.0,0.6951860693311462,0.0,0.022223553853981504,0.06352133097054817,0.0,0.7136556222757339,0.29709737827715355,0.01431261770244821
ruler8k,blasst_s50,head,15,local,507300.0,158026.0,158026.0,158026.0,0.0,3112139.11951828,3417600.0,10344208.290287951,278400444.7196655,3112139.11951828,3324229.795036316,63890.0,63890.0,0.31150404100137985,0.31150404100137985,0.9106212311324555,0.9106212311324555,0.1927585568261245,0.0,373800.0,118490.0,118490.0,106800.0,37133.0,37133.0,26700.0,2403.0,2403.0,0.31150404100137985,0.0,0.062058367134256755,0.12594125763847822,0.0,0.31698769395398607,0.347687265917603,0.09
ruler8k,blasst_s50,layer,0,local,324672.0,24658.0,24658.0,24658.0,0.0,2121589.829147339,2187264.0,946220.8646509785,372593342.9108887,2121589.829147339,2182078.5861434937,16380.0,16380.0,0.07594741770155726,0.07594741770155726,0.9699742825499523,0.9699742825499523,0.050393986412855814,0.0,239232.0,10376.0,10376.0,68352.0,13880.0,13880.0,17088.0,402.0,402.0,0.07594741770155726,0.0,0.027654986776244103,0.05045091661738616,0.0,0.043372124130551096,0.20306647940074907,0.023525280898876403
ruler8k,blasst_s50,layer,1,local,324672.0,32686.0,32686.0,32686.0,0.0,2102527.3805351257,2187264.0,920817.7553497612,372926970.7626953,2102527.3805351257,2176378.5774536133,24828.0,24828.0,0.10067391090084762,0.10067391090084762,0.9612590800813828,0.9612590800813828,0.04969068065496574,0.0,239232.0,9352.0,9352.0,68352.0,23301.0,23301.0,17088.0,33.0,33.0,0.10067391090084762,0.0,0.03376418983647495,0.07647102306327616,0.0,0.039091760299625467,0.34089712078651685,0.0019311797752808988
ruler8k,blasst_s50,layer,2,local,324672.0,61240.0,61240.0,61240.0,0.0,1965888.9576787949,2187264.0,13694938.42148887,146281686.55096436,1965888.9576787949,2127040.689704895,28910.0,28910.0,0.18862113148038637,0.18862113148038637,0.8987890614387631,0.8987890614387631,0.30597437931312554,0.0,239232.0,23063.0,23063.0,68352.0,38169.0,38169.0,17088.0,8.0,8.0,0.18862113148038637,0.0,0.07367731194135695,0.08904371180760891,0.0,0.09640432718031032,0.5584181882022472,0.00046816479400749064
ruler8k,blasst_s50,layer,3,local,324672.0,105969.0,105969.0,105969.0,0.0,1952876.0665473938,2187264.0,13747076.791453766,248430368.84643555,1952876.0665473938,2118096.129852295,46085.0,46085.0,0.32638786221170907,0.32638786221170907,0.8928396693528508,0.8928396693528508,0.2352354861269101,0.0,239232.0,65919.0,65919.0,68352.0,40046.0,40046.0,17088.0,4.0,4.0,0.32638786221170907,0.0,0.07553732119437852,0.14194325349891582,0.0,0.2755442415730337,0.5858789794007491,0.00023408239700374532
ruler8k,blasst_s50,layer,4,local,324672.0,121404.0,121404.0,121404.0,0.0,1865555.1821174622,2187264.0,17858870.66328228,196907038.40551758,1865555.1821174622,2098635.3100967407,47507.0,47507.0,0.373928149024246,0.373928149024246,0.8529172436969027,0.8529172436969027,0.3011593672051307,0.0,239232.0,75899.0,75899.0,68352.0,45406.0,45406.0,17088.0,99.0,99.0,0.373928149024246,0.0,0.10656241220962745,0.14632305834811749,0.0,0.31726106875334403,0.6642965823970037,0.005793539325842697
